firms,clusters,mom1
54594,9,-0.0403669724770642
11624,29,-0.0573170731707315
11790,27,0.0974842767295596
13056,54,-0.0098452883263008
50091,4,0.0048721071863579
14526,26,0.1223908918406073
11581,39,-0.0369106699751861
15203,14,0.0126059103120479
15748,1,0.0588235294117649
16126,22,-0.0507020280811232
17137,11,0.0420751113940163
85885,47,-0.0882352941176469
85914,10,0.0632824558394786
18092,26,-0.0022030731476059
18244,11,0.0543537538629339
84839,51,0.1423550087873462
67176,24,-0.0163170163170162
20670,33,-0.0111111111111111
64899,22,0.0942492012779552
22905,59,0.0935153583617747
47175,58,0.3647798742138366
23660,44,0.0903783278841661
23975,50,0.0772447724477245
82542,31,-0.005559968228753
30680,31,0.0429497568881684
56274,4,0.0276845637583893
27642,16,0.0555555555555555
55589,29,0.0194174757281553
31318,50,-0.0374999999999999
31668,52,0.0133333333333334
54391,23,-0.0928395061728394
32046,9,-0.0446735395189004
32054,42,-0.0065979381443298
47511,50,0.0292479108635097
33188,42,-0.0174129353233829
48143,35,0.1810526315789473
23552,10,0.0752136752136753
60628,50,-0.04039070749736
57330,5,0.0938775510204081
37875,20,0.0762711864406779
20765,8,0.0570221752903905
17144,30,0.0035674470457078
39328,1,0.0039215686274509
26657,7,0.2159999999999999
40540,29,-0.2443324937027707
22250,50,0.0046728971962615
41452,14,0.0093582887700534
44821,9,-0.0400511291009798
53129,30,-0.2008068130883012
84226,8,0.014813073124853
89181,13,-0.0112994350282484
46843,14,0.1625066383430697
46907,52,0.1959910913140312
64020,7,0.4029850746268655
51423,8,0.0
67002,8,0.011727078891258
52090,30,-0.032051282051282
53613,12,-0.0927475592747559
54114,23,0.1306423611111111
55160,22,0.1578947368421053
55213,40,0.0647166361974405
64442,7,-0.0625
56363,31,0.01364153088291
51377,32,0.0974649273935515
57665,54,0.0524256651017214
67010,44,-0.0012484394506866
34948,52,-0.0032116788321168
35107,30,0.0428571428571429
61621,59,-0.012332990750257
51692,32,0.1038961038961039
43692,7,0.0714285714285714
65307,28,0.0470588235294118
66852,37,0.0108588351431391
46922,10,0.0732984293193717
67193,8,0.0454976303317533
67732,16,0.003448275862069
77354,20,0.0737864077669903
69199,6,0.0316622691292876
38850,28,-0.0682148040638607
72128,24,-0.059662775616083
72486,14,-0.1076666666666666
27764,50,-0.0398340248962656
44951,27,0.0237906423473435
74500,43,-0.0087336244541484
74740,20,-0.0329629629629629
65752,14,0.1210762331838564
40061,15,0.073237241916634
75433,7,-0.0972222222222222
40694,30,0.0750828119249171
76129,9,0.0388888888888889
65306,40,-0.1184060721062618
92874,51,0.112225362384903
81294,54,0.0939617991373997
19502,59,0.0571510626076967
81614,19,-0.1894736842105263
51086,17,-0.0519725557461405
83601,31,-0.017832647462277
62042,23,0.0314510364546103
68304,54,-0.0497049180327869
10012,47,0.167701863354037
88867,52,-0.212100611828688
21785,48,-0.0183006535947712
65067,2,0.2718954248366012
10044,51,0.0525392509428996
69032,30,0.0074722070348096
10104,53,0.0041771094402671
75510,43,-0.0559872029250455
10972,7,0.0
11353,11,0.016441005802708
75033,27,0.1641666666666668
11185,16,-0.0451745379876796
11833,16,-0.3115942028985506
75110,46,-0.0040816326530612
11794,25,0.1649102819709482
12211,23,0.0508840017248815
12171,35,-0.1846153846153846
75434,29,0.0445151033386328
80297,8,0.0183445190156599
75976,51,0.0488778054862844
75857,7,0.0559566787003609
75993,48,-0.1064388961892247
77488,44,-0.108108108108108
