tic,datadate,gvkeyx,conm,indextype,spii,spmi,indexcat,bkvlps,cshtrm,dvpsxm,dvrate,epsx12,prccm,prchm,prclm
I0003,2024-06-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,6.32000000,73.12400000,,5460.48000000,5523.64000000,5234.32000000
I0003,2024-05-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,7.83600000,72.24000000,193.08600000,5277.51000000,5341.88000000,5011.05000000
I0003,2024-04-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,4.12500000,72.24000000,193.08600000,5035.69000000,5263.95000000,4953.56000000
I0003,2024-03-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,5.79000000,72.24000000,193.08600000,5254.35000000,5264.85000000,5056.82000000
I0003,2024-02-29,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,7.98600000,73.51200000,194.10000000,5096.27000000,5111.06000000,4853.52000000
I0003,2024-01-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,4.28400000,73.51200000,194.10000000,4845.65000000,4931.09000000,4682.11000000
I0003,2023-12-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,5.39300000,73.51200000,194.10000000,4769.83000000,4793.30000000,4546.50000000
I0003,2023-11-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,8.82400000,69.02000000,185.86800000,4567.80000000,4587.64000000,4197.74000000
I0003,2023-10-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,4.16100000,69.02000000,185.86800000,4193.80000000,4393.57000000,4103.78000000
I0003,2023-09-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,4.83800000,69.02000000,185.86800000,4288.05000000,4541.25000000,4238.63000000
I0003,2023-08-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,8.12800000,68.52000000,182.59200000,4507.66000000,4584.62000000,4335.31000000
I0003,2023-07-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,4.28900000,68.52000000,182.59200000,4588.96000000,4607.07000000,4385.05000000
I0003,2023-06-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,5.49000000,68.52000000,182.59200000,4450.38000000,4458.48000000,4171.64000000
I0003,2023-05-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,7.71800000,70.15600000,176.80300000,4179.83000000,4231.10000000,4048.28000000
I0003,2023-04-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,3.92200000,70.15600000,176.80300000,4169.48000000,4170.06000000,4049.35000000
I0003,2023-03-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,6.36300000,70.15600000,176.80300000,4109.31000000,4110.75000000,3808.86000000
I0003,2023-02-28,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,7.18600000,69.55600000,174.53800000,3970.15000000,4195.44000000,3943.08000000
I0003,2023-01-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,3.99000000,69.55600000,174.53800000,4076.60000000,4094.21000000,3794.33000000
I0003,2022-12-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,1024.55678300,,5.66700000,69.55600000,174.53800000,3839.50000000,4100.96000000,3764.49000000
I0003,2022-11-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,7.91500000,66.62800000,188.98300000,4080.11000000,4080.11000000,3698.15000000
I0003,2022-10-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,3.80700000,66.62800000,188.98300000,3871.98000000,3905.42000000,3491.58000000
I0003,2022-09-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,5.52900000,66.62800000,188.98300000,3585.62000000,4119.28000000,3584.13000000
I0003,2022-08-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,7.20500000,66.50911000,194.29200000,3955.00000000,4325.28000000,3954.53000000
I0003,2022-07-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,3.92300000,66.50911000,194.29200000,4130.29000000,4140.15000000,3721.56000000
I0003,2022-06-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,5.82500000,66.50911000,194.29200000,3785.38000000,4177.51000000,3636.87000000
I0003,2022-05-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,7.14300000,65.00388000,199.98800000,4132.15000000,4307.66000000,3810.32000000
I0003,2022-04-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,3.65900000,65.00388000,199.98800000,4131.93000000,4593.45000000,4124.28000000
I0003,2022-03-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,5.68487000,65.00388000,199.98800000,4530.41000000,4637.30000000,4157.87000000
I0003,2022-02-28,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,6.49600000,63.13200000,199.86700000,4373.94000000,4595.31000000,4114.65000000
I0003,2022-01-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,4.07000000,63.13200000,199.86700000,4515.55000000,4818.62000000,4222.62000000
I0003,2021-12-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,1008.02344100,,5.35800000,63.13120000,199.86700000,4766.18000000,4808.93000000,4495.12000000
I0003,2021-11-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,6.60300000,61.43000000,177.22600000,4567.00000000,4743.83000000,4560.00000000
I0003,2021-10-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,3.82200000,61.43000000,177.22600000,4605.38000000,4608.08000000,4278.94000000
I0003,2021-09-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,4.94800000,61.43000000,177.22600000,4307.54000000,4545.85000000,4305.91000000
I0003,2021-08-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,6.12600000,58.31010000,160.40200000,4522.68000000,4537.36000000,4367.73000000
I0003,2021-07-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,4.28330000,58.31010000,160.40200000,4395.26000000,4429.97000000,4233.13000000
I0003,2021-06-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,4.68650000,58.31006000,160.40200000,4297.50000000,4302.43000000,4164.40000000
I0003,2021-05-31,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,6.19900000,58.70672000,129.61100000,4204.11000000,4238.04000000,4056.88000000
