firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,pchcapx_ia,pchcurrat,pchdepr,pchquick,pchsale_pchinvt,pchsale_pchrect,pctacc,quick,roic,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BACQ_71-L^J02,0.3005653266331658,-0.3005653266331658,13.0,-0.1213491985445963,0.0375211167422423,-1.0219001946459636,0.8242764323685765,0.1571864345953705,-0.0377122877122876,-0.1292922948073685,3.499050598172178e-06,-0.1987412724948372,-0.175669099756691,-0.0637566312480469,-0.0294151014954681,0.0040030527320179,0.0883395627256124,0.2415120103933437,0.0709174309561074,-4.317293233082707,0.4232132309509746,0.1654998278434523,-0.0283804627249357,0.355191256830601,-0.2591093117408907,-0.2738095238095238,-0.3578947368421052,-0.3369565217391304,-0.25,0.0639534883720931,0.0578034682080925,0.2448979591836735,1.2875,0.967741935483871,2.8125000000000004,3.159090909090909,3.159090909090909,3.463414634146342,3.2558139534883725,2.734693877551021,3.575,2.588235294117647,2.388888888888889,2.452830188679245,1.0561797752808988,1.0561797752808988,0.1883116883116884,0.0639534883720931,-0.2043478260869564,-0.2343096234309624,-0.1367924528301887,-0.2438016528925619,-0.3464285714285713,-0.1285714285714285,-0.171945701357466,0.0892857142857144,0.0338983050847458,-0.3645833333333332,-0.2823529411764705,-0.2310924369747898,-0.4245283018867924,-0.494475138121547,-0.5590361445783133,-0.6056034482758621,-0.6171548117154813,-0.6056034482758621,-0.6325301204819278,-0.5821917808219178,-0.8311808118081181,-0.8451776649746193,-0.8219844357976653,-0.8267045454545454
BALZ_07-L^I10,0.0430235595843715,0.0430235595843715,13.0,0.3810514346866431,0.2638355745871871,-0.9911580450775876,1.5999621809013551,0.412926274764534,0.3857652798777919,-0.0075844614049231,3.601927104095732e-08,-0.0594609056250417,0.3775085816043206,-0.0915440077656287,0.0831841587403734,-0.6109879056589765,0.2296614161575434,0.128902244914345,0.0586415039016326,0.3751347114725188,1.1999243618027102,-0.0380615075851484,0.2654303062302005,0.0377358490566037,-0.2638888888888888,-0.2638888888888888,-0.480392156862745,-0.480392156862745,-0.5391304347826087,-0.4854368932038835,-0.6513157894736842,-0.7150537634408602,-0.6768292682926829,-0.7119565217391304,-0.7376237623762376,-0.7210526315789474,-0.7376237623762376,-0.7180851063829787,-0.7225130890052356,-0.66875,-0.5891472868217054,-0.5826771653543307,-0.6558441558441559,-0.5267857142857143,-0.4591836734693877,-0.4591836734693877,-0.345679012345679,-0.3375,-0.3764705882352941,-0.3205128205128205,-0.3291139240506329,-0.2837837837837837,-0.196969696969697,-0.2205882352941176,-0.0862068965517239,-0.1016949152542372,-0.1166666666666665,0.06,0.1521739130434782,0.2619047619047621,0.1521739130434782,0.1041666666666667,0.1041666666666667,0.0392156862745098,0.2619047619047621,0.2325581395348839,0.358974358974359,0.2619047619047621,0.358974358974359,0.3249999999999999,0.3249999999999999,0.4722222222222223
BBOU_00-L,0.0621890547263681,-0.0621890547263681,13.0,0.0927119484382746,0.1508153371529308,-0.3183731553204863,1.030153586022263,0.1527078085642317,0.101040118870728,0.0055081734186211,0.0001610505950268,0.0296232027764005,0.0910515159893097,-0.0710913313588759,0.0413205625645098,0.256777098290656,0.0977177543691166,0.0366396835280758,-0.0157238405922169,-0.8564437194127243,0.7156545019022122,0.1034641728134878,0.0801179443976411,0.0,0.0189228529839884,-0.0502035278154681,-0.1228070175438597,-0.0873533246414601,-0.0344827586206896,-0.0223463687150837,-0.0223463687150837,0.0703363914373089,-0.0666666666666666,-0.0318118948824344,0.0638297872340425,0.1532125205930807,0.2131715771230504,0.2027491408934707,0.1627906976744186,0.2173913043478261,0.346153846153846,0.3861386138613862,0.4644351464435146,0.5555555555555556,0.4056224899598393,0.238938053097345,0.1551155115511551,0.1589403973509933,0.1023622047244094,0.1200000000000001,0.023391812865497,0.0416666666666667,-0.0250696378830083,0.0355029585798816,0.0144927536231882,-0.0042674253200569,0.023391812865497,0.1041009463722397,0.0370370370370369,0.2987012987012987,0.1023622047244094,-0.0168539325842697,-0.0331491712707182,-0.0099009900990099,-0.0410958904109588,-0.0502035278154681,0.10062893081761,0.2704174228675136,0.0802469135802468,0.1058451816745655,0.1041009463722397,0.0279001468428781
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,-25.94768049914161,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,3.456936668741326e-07,0.2216981132075471,-0.108730583824317,-0.0702292847711909,-0.2328427255985267,-0.3980598279380004,-0.2464646464646464,-0.4155844155844156,0.6064997804128239,-2.256756756756757,1.8,0.0007898894154818,0.2272727272727272,0.0,0.0499999999999998,0.0499999999999998,0.75,0.0499999999999998,0.0499999999999998,0.1052631578947367,0.1999999999999999,0.3999999999999999,0.6799999999999999,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.6799999999999999,0.6799999999999999,1.0999999999999996,0.5555555555555554,0.909090909090909,0.3125,1.625,1.625,0.909090909090909,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.1666666666666667,0.2352941176470586,0.4482758620689655,0.4482758620689655,0.4999999999999998,0.4482758620689655,0.6153846153846152,0.909090909090909,0.909090909090909,0.826086956521739,0.826086956521739,0.6153846153846152,0.4999999999999998,0.3548387096774192,0.2352941176470586,0.0769230769230768,0.0769230769230768,0.0769230769230768,0.1052631578947367,0.0769230769230768,0.0499999999999998,0.0499999999999998,0.0499999999999998,-0.0869565217391304
BBTU_63-L^C18,0.0692212078350692,-0.0692212078350692,12.0,0.0199125578979264,0.1282051282051282,-0.3052475688930968,0.5146896399381489,0.0471589978712952,0.0372614107883818,-0.0017573185890016,1.52982764943681e-05,0.0531145837842517,0.001359989120087,0.1234594140045532,-0.0334126519947519,0.3043053581959103,-0.0381381673758147,-0.103440790187778,-0.0451904075360269,-2.323741007194245,0.4896178484647669,0.0705462412114656,-0.0809182676652555,-0.0360360360360361,-0.2344827586206895,-0.2562814070351757,-0.251264755480607,-0.2397260273972602,-0.171641791044776,-0.1066398390342051,-0.1999999999999999,-0.235800344234079,-0.1190476190476189,-0.0492505353319057,-0.0389610389610388,-0.0492505353319057,-0.1526717557251907,-0.1669793621013132,-0.1747211895910779,-0.263681592039801,-0.3169230769230768,-0.3451327433628318,-0.2929936305732483,0.0829268292682929,-0.0711297071129707,-0.1137724550898202,-0.0451612903225806,-0.1242603550295857,-0.2397260273972602,-0.2550335570469798,-0.2685337726523887,-0.3252279635258358,-0.3917808219178081,-0.3460972017673048,-0.3546511627906976,-0.162264150943396,-0.2384219554030874,-0.2141592920353981,-0.1868131868131867,-0.1155378486055775,-0.2183098591549295,-0.3272727272727271,-0.4211212516297261,-0.449814126394052,-0.4585365853658535,-0.4552147239263803,-0.4016172506738543,-0.3657142857142856,-0.3029827315541601,-0.3303167420814479,-0.3084112149532709,-0.3343328335832083
BBXK_89-L^E06,0.0859512760282387,-0.0859512760282387,13.0,-0.0401846422556297,0.0904980330063172,0.7461452504163419,1.7744247073072266,0.0669839034693728,-0.0529835076345994,-0.0790379975682138,6.389676745956625e-05,0.0316886033310461,-0.0198144616478649,-0.1429797740867437,0.0324515770261952,0.0862095447531602,0.0244610237791469,-0.0106127190270069,-0.0477332849369547,-519.3076923076923,1.5359810254339927,0.1012611173830437,-0.0146177780489293,0.1561461794019933,-0.0652173913043479,0.0273037542662115,-0.0227272727272728,0.0238095238095237,-0.0352564102564103,-0.0564263322884013,0.0866425992779782,0.1401515151515149,0.3681818181818179,0.2974137931034482,0.308695652173913,0.2647058823529411,0.2088353413654615,0.1576923076923075,0.0673758865248226,-0.0227272727272728,0.0866425992779782,-0.0227272727272728,-0.0227272727272728,-0.0988023952095809,-0.1350574712643678,0.0343642611683847,-0.0988023952095809,-0.1908602150537635,-0.3689727463312369,-0.3325942350332594,-0.3048498845265589,-0.3470715835140998,-0.4003984063745019,-0.37160751565762,-0.3806584362139918,-0.2934272300469484,-0.3819301848049282,-0.3869653767820774,-0.4320754716981132,-0.4320754716981132,-0.5289514866979657,-0.5049342105263158,-0.5376344086021505,-0.5362095531587058,-0.5580029368575624,-0.5681492109038737,-0.556047197640118,-0.5567010309278351,-0.574858757062147,-0.5954301075268817,-0.5825242718446602,-0.6075619295958279
BCPS_48-L^C06,0.1244105449946569,-0.1244105449946569,12.0,-0.3951003839133992,0.1093293277037999,1.1455825704133535,1.4643407440017608,0.1570357644853974,-0.521809612440335,-0.5170929696766813,1.5241804642163592e-05,-0.4569041475234438,-0.2504439235741175,0.4228131281869932,0.3284622057641138,2.4423628140423195,0.3632376349237049,0.0705115391440066,-0.3072394863598279,-9.303519061583575,1.396324014968083,0.1751632901583084,-0.3572662386337712,0.1555555555555556,-0.217391304347826,-0.3129770992366412,-0.3076923076923077,-0.3959731543624161,-0.3076923076923077,-0.296875,-0.3939393939393939,-0.4,-0.4321766561514195,-0.4267515923566879,-0.3639575971731449,-0.7009966777408638,-0.6964586846543002,-0.6629213483146068,-0.6836555360281196,-0.7520661157024793,-0.7160883280757098,-0.725609756097561,-0.7482517482517483,-0.7877358490566038,-0.8257502420135527,-0.8034934497816594,-0.7972972972972974,-0.8008849557522124,-0.8226600985221675,-0.8228346456692913,-0.8194583751253761,-0.799554565701559,-0.8008849557522124,-0.7991071428571429,-0.7540983606557377,-0.7289156626506024,-0.7464788732394366,-0.7439544807965861,-0.7264437689969605,-0.6518375241779497,-0.7360703812316716,-0.8103266596417281,-0.7963800904977376,-0.7839135654261704,-0.7963800904977376,-0.797979797979798,-0.7772277227722773,-0.7428571428571429,-0.7398843930635838,-0.7217928902627511,-0.7402597402597402,-0.7309417040358744
BCQE_67-L^A14,0.0321227219090074,-0.0321227219090074,13.0,0.1092367256637168,0.0683085501858736,-0.8616047458601582,0.9219501530389156,0.1726105563480741,-0.1943359375,0.043398452864819,6.057523179774724e-05,0.008987831858407,0.1606425702811245,-0.1821095089141604,-0.0050396618398252,-0.043834144606215,-0.0450523829197027,-0.2761242656915086,-0.2053589906987712,-3.141025641025641,0.6567555749890687,0.0912563088255354,-0.1296214301527562,0.6337719298245617,-0.5538160469667319,-0.5615384615384615,-0.7119393556538218,-0.7344205008736169,-0.7362637362637363,-0.712484237074401,-0.754442649434572,-0.7867165575304023,-0.75054704595186,-0.770392749244713,-0.7597471022128557,-0.7344205008736169,-0.8510290754655342,-0.8413361169102296,-0.843889079082506,-0.8346028291621328,-0.8730512249443207,-0.8518518518518519,-0.8609756097560975,-0.8641239570917759,-0.8841757683515367,-0.8691159586681975,-0.8687769784172662,-0.86110265001523,-0.8835546475995915,-0.8818040435458787,-0.8716938660664041,-0.8630219285070592,-0.8769562871019968,-0.8594761171032358,-0.8505897771952817,-0.8299142111152555,-0.8353196099674973,-0.8141051773338769,-0.8457374830852503,-0.7901518637827888,-0.8141051773338769,-0.8566939032055312,-0.8703440432186522,-0.8960565306587646,-0.8857142857142857,-0.8789808917197452,-0.8779443254817987,-0.8553299492385786,-0.8692660550458716,-0.8611449451887941,-0.8679409209383145,-0.8793650793650793
BCZB_W7-L^G07,0.0631005306180983,-0.0631005306180983,13.0,-0.0175322213798332,0.1230741669652454,0.1486229233279653,0.8578034682080925,0.0683829444891391,0.0356389708983551,-0.0783976289497586,0.0002913362740909,-0.0830174374526156,-0.0621419892379795,0.0934736793922958,0.1325405230607542,0.0660267569648941,0.2422356032748602,0.2859659721379878,-9.535654901916963,-2.519083969465649,0.6813872832369943,0.047725653810929,0.0597996435375822,0.0486618004866177,-0.0441860465116278,-0.1103896103896103,-0.1829025844930417,-0.1746987951807228,-0.0907079646017697,-0.0927152317880795,-0.0551724137931033,-0.014388489208633,-0.0947136563876651,-0.0825892857142857,-0.0886917960088691,-0.0352112676056336,-0.007246376811594,0.1168478260869565,0.1416666666666668,0.3215434083601287,0.0703125000000002,0.1982507288629738,0.3475409836065575,0.090185676392573,0.0300751879699248,0.0930851063829789,-0.0190930787589499,-0.0306603773584905,-0.1646341463414633,-0.0374707259953159,-0.125531914893617,-0.0551724137931033,-0.0886917960088691,-0.0659090909090909,-0.0048426150121064,-0.1595092024539876,-0.2540834845735026,-0.2764084507042252,-0.3306188925081432,-0.3667180277349768,-0.3251231527093595,-0.3251231527093595,-0.3402889245585875,-0.273851590106007,-0.2472527472527471,-0.3217821782178217,-0.2288930581613507,-0.2660714285714285,-0.2938144329896907,-0.2764084507042252,-0.2789473684210526,-0.217142857142857
BDAJ_H9-L,0.2943997222644129,-0.2943997222644129,6.0,-0.4889508196721311,-0.1313369737537431,5.036182638177231,1.872883563427976,0.1727249291054395,-0.5514486391571555,-0.5755202117732959,3.1511774806521705e-06,-0.5726229508196722,-0.4673326133909287,-0.2248298404063144,0.5285651367253398,1.4082080043621714,0.5841046568840266,0.1377778272682731,0.0538482084999447,-2.1173533083645446,1.7030476686637146,0.4940212077912311,-0.1213130818226359,0.0474308300395256,-0.1891025641025642,-0.2310030395136778,-0.1365187713310581,-0.173202614379085,-0.0231660231660232,-0.0416666666666667,-0.0117187500000001,0.0765957446808509,0.0411522633744854,0.0,0.0541666666666666,0.0811965811965811,0.0858369098712446,0.0952380952380951,0.1990521327014218,0.2713567839195978,0.2401960784313723,0.2222222222222223,0.171296296296296,0.1933962264150941,-0.0698529411764706,-0.0766423357664235,-0.0664206642066421,-0.1481481481481482,-0.2991689750692521,-0.3690773067331671,-0.2708933717579251,-0.2379518072289157,-0.2913165266106443,-0.1891025641025642,-0.2333333333333334,-0.1091549295774648,-0.2142857142857144,-0.1968253968253969,-0.3049450549450549,-0.1677631578947369,-0.3342105263157895,-0.4451754385964912,-0.4390243902439025,-0.494,-0.54,-0.5522123893805311,-0.4582441113490364,-0.4143518518518519,-0.4605543710021322,-0.4729166666666666,-0.4535637149028078,-0.4970178926441352
