firms,absacc,acc,age,agr,cashdebt,chpmia,currat,depr,egr,grltnoa,herf,invest,lgr,mve_ia,pchcapx_ia,pchcurrat,pchdepr,pchquick,pchsale_pchrect,pctacc,quick,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,0.0610699659324542,-0.0610699659324542,17.0,0.108957485284979,0.0713249361852815,0.0322159012671058,1.2764034021871205,0.2645667801740446,-0.0383347073371804,-0.0381331382202103,1.7562189215688883e-08,0.0390026602244084,0.1923271837227607,0.1136955111165839,-0.3454863498255877,-0.0834184046636541,-0.2407756654237809,-0.0319019746861747,-0.0730397554368885,-5.566083283041642,0.9553705953827462,0.0772600557546794,-0.0178571428571429,0.1200000000000001,0.0769230769230771,0.1666666666666667,0.1666666666666667,0.2727272727272729,0.2173913043478261,0.1666666666666667,0.1200000000000001,0.1666666666666667,0.1666666666666667,-0.0508474576271185,-0.0344827586206895,0.0980392156862746,0.1200000000000001,0.2173913043478261,0.1914893617021278,0.0769230769230771,0.3658536585365854,0.3333333333333335,0.4736842105263159,0.6470588235294119,0.931034482758621,0.7500000000000002,0.931034482758621,0.806451612903226,0.4358974358974359,0.6470588235294119,1.1538461538461542,0.6470588235294119,0.696969696969697,0.5555555555555558,0.1914893617021278,0.1200000000000001,0.1200000000000001,0.0980392156862746,0.0,-0.2112676056338027,-0.263157894736842,0.0181818181818183,0.0566037735849056,-0.2222222222222221,-0.2222222222222221,-0.4509803921568627,-0.4509803921568627,-0.5130434782608695,-0.4563106796116504,-0.631578947368421,-0.6989247311827957
BBOU_00-L,0.0481394657773962,-0.0481394657773962,16.0,-0.1300858183614249,0.1569274041026138,-0.5093264789385658,1.0087597053553654,0.1143724696356275,-0.2547436415018167,-0.0924561032786344,5.0990076499493614e-05,0.0004321787985429,-0.0753220085868956,18.593761899925603,-0.1905901235334916,0.0700292753118734,-0.1819882063017074,-0.0752799502013805,0.2769020438683948,-0.5237068965517241,0.5755524586900259,-0.0581567796610169,0.0205761316872428,-0.0188425302826379,-0.0068119891008173,-0.0095108695652174,0.0474137931034481,0.0657894736842106,0.0642335766423358,-0.0040983606557377,0.0210084033613446,-0.0357142857142857,0.0325779036827196,-0.03315649867374,0.0124999999999999,-0.0081632653061224,-0.0095108695652174,0.0444126074498567,0.1146788990825689,0.0784023668639053,0.1498422712933753,0.1319875776397514,0.1079027355623101,0.0673499267935577,0.111280487804878,0.1498422712933753,0.1319875776397514,0.08,0.1095890410958904,-0.0013698630136985,-0.0864661654135339,-0.0701530612244897,-0.0108548168249661,-0.1433607520564042,-0.1523255813953488,-0.194475138121547,-0.2058823529411764,-0.1620689655172412,-0.1403301886792453,-0.0713375796178343,-0.0214765100671141,0.0414285714285713,0.0414285714285713,0.0611353711790392,-0.0108548168249661,-0.0864661654135339,-0.0495436766623207,0.0055172413793103,0.0181564245810055,0.0181564245810055,0.1146788990825689
BBTK_30-L^C11,0.1134510869565217,-0.1134510869565217,11.0,0.1364296081277213,0.1818181818181818,-3.745506114945377,1.8613333333333333,0.0887634684453566,0.8411764705882353,0.1253396739130146,2.2759217856096877e-07,0.2216981132075471,-0.108730583824317,0.0017107009012828,-0.2581898065272733,-0.2328427255985267,-0.3980598279380004,-0.2464646464646464,0.6064997804128239,-2.256756756756757,1.8,0.2272727272727272,-0.075,0.0526315789473683,-0.111111111111111,0.0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,-0.111111111111111,0.142857142857143,0.142857142857143,-0.111111111111111,0.142857142857143,0.142857142857143,0.0,0.0,-0.111111111111111,0.142857142857143,0.142857142857143,0.0,0.0,0.0,-0.1999999999999999,-0.2727272727272727,-0.1999999999999999,-0.0476190476190475,0.0810810810810811,0.0810810810810811,0.0,0.5384615384615385,0.5384615384615385,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,-0.0476190476190475,0.0,0.0,0.6666666666666667,0.0,0.0,0.0526315789473683,0.142857142857143,0.3333333333333335
BBTU_63-L^C18,0.0551027878928,-0.0551027878928,16.0,-0.0325240234263945,0.1724048185603807,-0.0321924538286187,0.8805668016194332,0.0792268645060523,0.0439906698858288,-0.045739167292819,9.124235662042912e-05,0.0072212429635525,-0.0984162895927602,4.169673004225499,-0.0020912085937037,0.0475001915634213,-0.022564245099683,0.0467726827189431,0.2862035167492429,-1.0966257668711654,0.8645748987854251,0.3317731370024074,0.0641562064156207,0.0451895043731778,0.1545893719806763,0.138095238095238,0.0606508875739644,0.1417197452229299,0.138095238095238,0.0980091883614089,0.1064814814814814,0.195,0.3060109289617485,0.298913043478261,0.3131868131868132,0.3228782287822878,0.3788461538461538,0.5158562367864692,0.6332574031890661,0.5,0.5063025210084033,0.6148648648648647,0.6407322654462242,0.9326145552560648,1.153153153153153,0.9590163934426228,0.847938144329897,0.7791563275434241,0.6482758620689657,0.6990521327014219,0.8868421052631579,0.5320512820512822,0.5689277899343543,0.3477443609022554,0.2111486486486486,0.1715686274509804,0.1930116472545757,0.3253234750462106,0.4142011834319525,0.4086444007858547,0.4426559356136821,0.6752336448598131,0.6148648648648647,0.2362068965517241,0.2010050251256281,0.2091062394603711,0.2277397260273972,0.3376865671641791,0.4426559356136821,0.291891891891892,0.2340791738382099
BBXK_89-L^E06,0.169506349628283,-0.169506349628283,17.0,-0.4191484458662618,0.197405228682929,-0.0253027980477051,0.6495772900023269,0.0815415699164681,-0.8076484741040901,-0.0212997659083662,4.068900012759093e-05,-0.022352957124073,-0.2355223334890618,4.834481442792713,-0.6069176978253674,-0.6836133044405258,0.178998738899706,-0.7903832560889411,0.9256939167437414,-1.6838160136286202,0.3861009850306368,-0.0432692886827681,-0.0204081632653062,0.0457317073170733,0.0786163522012579,-0.0143678160919539,0.0457317073170733,0.0147928994082842,0.0362537764350454,-0.0029069767441859,-0.0199999999999999,0.2992424242424243,0.2656826568265684,0.1993006993006993,0.3294573643410852,0.242753623188406,0.3141762452107282,0.2472727272727273,0.1548821548821548,0.1706484641638226,0.1746575342465754,0.1587837837837837,0.242753623188406,0.275092936802974,0.2610294117647058,0.1706484641638226,0.1706484641638226,0.1395348837209302,0.0652173913043479,-0.0524861878453039,0.1100323624595469,0.0521472392638038,0.0923566878980892,-0.0602739726027397,-0.0524861878453039,-0.0828877005347593,-0.0679347826086956,-0.2478070175438596,-0.2239819004524886,-0.1967213114754097,-0.1551724137931033,-0.0143678160919539,0.1395348837209302,0.0652173913043479,0.1706484641638226,0.1136363636363637,0.1666666666666667,0.0993589743589744,0.0752351097178685,0.2382671480144405,0.2992424242424243
BCPS_48-L^C06,0.2001199580146948,-0.2001199580146948,16.0,-0.2266599303321189,0.0361847473829008,0.4328924378445017,1.3977200759974666,0.2427630117716739,-0.2767315671879988,-0.2550907182485772,3.7076751375130775e-06,-0.106336586273832,-0.2145116976105235,1.9404773288049653,-0.7945627091960267,-0.0473296715654651,2.095412870462529,-0.040028919523193,0.1472381302448613,-2.6660007990411505,1.329322355921469,0.0464862505456132,0.0161812297734629,0.0369127516778522,0.0265780730897009,0.1529850746268655,0.1884615384615384,0.2663934426229508,0.4045454545454543,0.3493449781659388,0.4439252336448596,0.4305555555555553,0.3794642857142856,0.3376623376623375,0.3205128205128205,0.3434782608695652,0.2459677419354837,0.0957446808510638,0.2310756972111554,0.1930501930501931,0.3493449781659388,0.3205128205128205,0.2983193277310925,0.5449999999999999,0.7861271676300576,0.943396226415094,0.8841463414634148,0.8841463414634148,0.6702702702702701,0.6793478260869563,0.807017543859649,0.3672566371681416,0.4644549763033174,0.2663934426229508,0.1486988847583643,0.10752688172043,0.2459677419354837,0.4855769230769229,0.3672566371681416,0.2983193277310925,0.2560975609756097,0.4855769230769229,0.7166666666666666,0.3434782608695652,0.1793893129770991,0.1884615384615384,0.0369127516778522,0.1884615384615384,0.20703125,0.0404040404040402,0.03
BCQE_67-L^A14,0.1957726957726957,-0.1957726957726957,17.0,-0.1951219512195122,-0.1129668994837534,0.2658674078309979,2.072480181200453,0.2285067873303167,0.371002132196162,-0.1514206514206311,5.511147996747041e-06,-0.1316447779862414,-0.1193603655054254,0.8173036289076613,-0.6933850208551792,0.1392047202584966,-0.0142844468103983,0.1932191138216297,-0.0867279520787616,-1.1945031712473573,1.77123442808607,-0.2487792341300436,-0.1140350877192981,0.2596685082872927,0.0410958904109588,0.2596685082872927,0.6642335766423355,0.3491124260355029,0.2391304347826084,0.1176470588235292,0.2192513368983955,0.0,0.0133333333333331,-0.11284046692607,-0.2348993288590605,0.0704225352112675,-0.0693877551020409,-0.3804347826086958,-0.2897196261682243,-0.4466019417475728,-0.2645161290322582,-0.0256410256410256,0.0555555555555553,0.3902439024390243,0.9487179487179488,0.2808988764044942,-0.6280587275693312,-0.6298701298701299,-0.7054263565891473,-0.6876712328767123,-0.6719424460431656,-0.7379310344827585,-0.7076923076923077,-0.7830637488106565,-0.815831987075929,-0.8197628458498024,-0.8426501035196687,-0.8042918454935623,-0.8317343173431735,-0.83632447954056,-0.8109452736318408,-0.6939597315436241,-0.5,-0.776908023483366,-0.7807692307692308,-0.8559696778269109,-0.8672102504368084,-0.8681318681318682,-0.8562421185372004,-0.877221324717286,-0.8933582787652011
BCZB_W7-L^G07,0.0722811944983685,-0.0722811944983685,17.0,-0.0774239656952275,0.0734536967117457,0.0656541879128672,0.8473611928585443,0.0662566396421582,-0.1430250783699059,-0.1477840650943786,0.0001531557665725,-0.0822679266259032,-0.0336123110151187,4.0559819793086085,-0.3590698286136316,0.0251921115077726,0.2482386193135039,0.0960331411917105,-0.1216512486991885,-14.344262295081966,0.7376888365705316,-0.101044279796978,0.0034965034965035,0.0592592592592591,0.0957854406130267,0.0711610486891385,0.1259842519685039,0.1085271317829457,0.0711610486891385,-0.0684039087947883,-0.0744336569579288,-0.1006289308176101,-0.0498338870431893,-0.175792507204611,-0.1090342679127726,-0.1988795518207282,-0.1612903225806452,-0.1513353115727004,-0.089171974522293,-0.1006289308176101,-0.0529801324503311,-0.0137931034482758,-0.0744336569579288,0.0437956204379561,0.1349206349206348,0.0751879699248119,0.0177935943060496,-0.1034482758620689,-0.1588235294117647,-0.0977917981072555,-0.0714285714285715,-0.2033426183844011,-0.1710144927536232,-0.3141486810551559,-0.3364269141531322,-0.3755458515283842,-0.3741794310722101,-0.3940677966101694,-0.3601789709172259,-0.3157894736842105,-0.3091787439613526,-0.3364269141531322,-0.3041362530413626,-0.3348837209302325,-0.380952380952381,-0.4314115308151094,-0.42570281124498,-0.3672566371681416,-0.3686534216335542,-0.3425287356321839,-0.3141486810551559
BDAJ_H9-L,0.2037956674630231,-0.2037956674630231,10.0,-0.146063501542749,-0.028906955736224,0.3907395693055864,1.7740963855421688,0.1104772505913454,-0.2296015180265654,-0.0995356078704967,2.461060801037841e-06,-0.0098039215686274,-0.1125963309009069,1.4452093442600018,0.0499074251994668,0.2779345515959982,-0.0649596662279379,0.264159960876717,0.2524534142899629,-3.1792294807370185,1.6340361445783131,0.0142271145957733,0.0347593582887699,0.019073569482289,-0.1137440758293837,-0.06265664160401,-0.0507614213197968,-0.0555555555555554,-0.0878048780487803,-0.1052631578947367,-0.1302325581395348,-0.1538461538461537,-0.1956989247311827,-0.1538461538461537,-0.1461187214611871,-0.0360824742268039,-0.0810810810810811,-0.0555555555555554,0.019073569482289,-0.0555555555555554,-0.0719602977667493,0.0747126436781608,0.0655270655270656,0.1130952380952381,0.1299093655589125,0.147239263803681,0.1402439024390245,0.0108108108108109,-0.0385604113110539,-0.0987951807228916,0.1032448377581121,0.019073569482289,0.1651090342679129,0.0163043478260869,-0.0579345088161209,-0.0209424083769632,-0.0810810810810811,0.0747126436781608,0.0685714285714287,0.1724137931034484,0.1910828025477706,0.4113207547169812,0.4782608695652175,0.1987179487179486,0.1367781155015197,0.2764505119453924,0.2222222222222223,0.4440154440154442,0.4166666666666667,0.4609375,0.5914893617021277
BDCK_44-L^L08,0.1291783193501132,-0.1291783193501132,16.0,-0.0275807722616233,0.0854898336414048,-0.0085341492638174,1.1555869872701556,0.1104199066874028,-0.0909638554216867,-0.135836995605269,1.6955518612172964e-07,-0.0795902285263987,0.021485287248949,0.0002371724494271,0.3622853793176342,0.0935201243496385,-0.0384266459305339,0.0954486294775491,-0.1416458195160357,-17.321428571428573,1.1478076379066475,-0.0521353300055461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.0937500000000001,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1470588235294119,-0.1714285714285714,-0.1714285714285714,-0.1714285714285714
