firms,age,agr,cash,cashdebt,chatoia,chcsho,che,chpmia,chtx,egr,grltnoa,herf,lgr,mve_ia,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,21.0,0.2936037466713539,0.1191539739857309,0.2116650390477371,1.2525747004410257,8.057126987460404e-05,3.1675000000000004,-0.0488294498540672,0.0096101358922055,0.4124598002708191,0.0590234405968928,4.262239629051421e-08,0.1625355519958155,0.3060791362594154,0.0071056309263628,-0.0112465689587929,0.0031861692338015,0.0277154298156654,0.0720077107873527,0.2208223579741823,0.7787710754095001,0.2734375,-0.0153846153846154,-0.0153846153846154,-0.111111111111111,-0.0588235294117647,-0.129251700680272,-0.3333333333333332,-0.4796747967479674,-0.4920634920634921,-0.488,-0.5444839857651246,-0.3816425120772946,-0.346938775510204,-0.2888888888888888,-0.2768361581920904,-0.2768361581920904,-0.2928176795580111,-0.3904761904761905,-0.2888888888888888,-0.1847133757961784,-0.238095238095238,-0.2470588235294117,-0.2,-0.1847133757961784,-0.2098765432098766,-0.1688311688311689,-0.2,-0.189873417721519,-0.1466666666666666,-0.0656934306569343,0.0,0.1327433628318586,0.2075471698113207,0.2673267326732673,0.292929292929293,0.2673267326732673,0.2190476190476189,0.1636363636363635,0.2190476190476189,0.3195876288659793,0.3333333333333335,0.5802469135802468,0.4545454545454546,0.5421686746987953,0.641025641025641,1.064516129032258,0.9393939393939394,1.1333333333333333,1.064516129032258
BBTU_63-L^C18,20.0,0.2000926784059315,0.0146466809421841,0.1685539378945031,0.7722863795100395,1.813916083774535e-05,-9.749999999999991,-0.2569498611689388,-0.0023958537062389,-0.2724046140195209,0.0896415181768354,5.484587593559084e-07,0.0608576284481632,1.0156562146104295,-0.1323139436331433,0.9490688259109312,-0.0623235791523601,0.0427446134836666,-0.16875,-0.0509311740890689,0.2982738618131376,0.2345679012345678,0.1408450704225352,0.1020408163265307,0.0253164556962024,0.0728476821192054,0.1328671328671329,0.0062111801242235,-0.1692307692307691,-0.2285714285714285,-0.2248803827751194,-0.3793103448275862,-0.4151624548736462,-0.4172661870503596,-0.3647058823529411,-0.3793103448275862,-0.4109090909090909,-0.3793103448275862,-0.5304347826086957,-0.5656836461126005,-0.554945054945055,-0.5207100591715976,-0.5656836461126005,-0.5331412103746398,-0.5331412103746398,-0.5249266862170088,-0.5304347826086957,-0.5813953488372092,-0.5449438202247191,-0.5317919075144508,-0.5371428571428571,-0.5135135135135135,-0.509090909090909,-0.509090909090909,-0.5358166189111748,-0.5164179104477612,-0.5462184873949579,-0.8285714285714285,-0.8173618940248026,-0.8167420814479638,-0.8152793614595211,-0.8002466091245376,-0.8033980582524272,-0.788787483702738,-0.7868421052631579,-0.7705382436260623,-0.7705382436260623,-0.7692307692307692,-0.7545454545454545,-0.775
BDAJ_H9-L,14.0,-0.0608196721311475,0.1121495327102803,0.0106613359986673,1.1559677534073052,7.021289194119165e-06,-7.300000000000001,-0.1302990499582809,-0.0065280464216634,-0.6691729323308271,-0.1898723476202463,1.0886502584547492e-07,-0.07380073800738,0.1825469282015843,-0.1449125941665056,-0.1404764001408945,-6.849833560726652,0.0170186769069645,-2.215909090909091,-0.0228293413173651,1.6251312986416828,-0.1095890410958904,0.2586206896551724,0.2372881355932203,0.0735294117647058,0.3272727272727271,0.2372881355932203,0.0138888888888888,-0.0394736842105263,-0.0135135135135134,-0.0641025641025642,-0.1704545454545455,-0.231578947368421,-0.2474226804123711,-0.2234042553191488,-0.2065217391304348,-0.1978021978021978,-0.3302752293577982,-0.2474226804123711,-0.5521472392638036,-0.5730994152046784,-0.5654761904761905,-0.5966850828729282,-0.6368159203980099,-0.6275510204081632,-0.645631067961165,-0.759075907590759,-0.7711598746081505,-0.7753846153846153,-0.8053333333333333,-0.7908309455587392,-0.7774390243902439,-0.7682539682539682,-0.7286245353159851,-0.7345454545454546,-0.745644599303136,-0.7697160883280757,-0.7794561933534743,-0.7908309455587392,-0.803763440860215,-0.8282352941176471,-0.8333333333333334,-0.8253588516746412,-0.8253588516746412,-0.8137755102040816,-0.8005464480874317,-0.8073878627968338,-0.8048128342245989,-0.7972222222222223,-0.8113695090439277
BFRL_28-L,20.0,0.2141241032664049,0.0345530367806592,-0.0311007562740224,0.3242485663044571,0.0001504914629804,-6.867500000000001,-2.440404795192384,-0.0009086729653587,-0.1911727640818946,0.0243635660828164,3.4368760977729063e-08,0.371532939029658,0.1065775875984376,-0.1946526624718143,1.1946526624718143,0.1946526624718143,-0.0076985449328808,-0.0412750255121283,0.1946526624718143,1.6251312986416828,-0.0470085470085469,0.0709382151029747,0.04,0.0086206896551723,0.1011764705882352,-0.4428571428571429,-0.4513481828839391,-0.5986277873070327,-0.5901926444833625,-0.8027812895069533,-0.7709251101321586,-0.8249158249158249,-0.7993999142734676,-0.767511177347243,-0.7631578947368421,-0.7510638297872341,-0.727906976744186,-0.7217598097502973,-0.7417218543046358,-0.7331812998859749,-0.7596302003081664,-0.7848275862068965,-0.8274336283185841,-0.8213058419243986,-0.8202074529389166,-0.8271148873291467,-0.8240601503759399,-0.8256983240223463,-0.8262161158559228,-0.8253079507278835,-0.8204833141542003,-0.8121990369181381,-0.8151658767772512,-0.8153117600631413,-0.8078817733990148,-0.8290098648154914,-0.8236623963828184,-0.8190954773869347,-0.8197920677705044,-0.818252427184466,-0.8198614318706697,-0.5609756097560976,-0.5609756097560976,-0.5609756097560976,-0.5609756097560976,-0.5609756097560976,-0.5609756097560976,-0.5609756097560976,-0.5609756097560976
BJJT_37-L,19.0,-0.0554049516893194,0.1203888462522384,0.004992968124407,0.0123322718170496,6.997547880561855e-05,-6.15,0.1577417393071108,-0.0006768759368953,0.1480225988700565,0.050978874973222,4.7434815078972976e-08,-0.0666610291869669,0.6070168989545376,0.291469681397739,-0.291469681397739,-0.291469681397739,0.000526582545105,0.0157480314960629,-0.291469681397739,-2.3856249316871203,0.0476190476190476,-0.0289017341040462,-0.0561797752808989,-0.0561797752808989,-0.125,-0.0508474576271187,-0.2363636363636364,-0.2566371681415929,-0.1884057971014492,-0.2222222222222223,-0.3385826771653544,-0.3868613138686132,-0.3868613138686132,-0.3488372093023256,-0.3587786259541985,-0.3913043478260869,-0.4381270903010034,-0.552,-0.552,-0.5778894472361809,-0.6146788990825689,-0.6037735849056605,-0.6190476190476191,-0.6347826086956522,-0.625,-0.625,-0.6102088167053363,-0.6093023255813954,-0.5841584158415842,-0.5922330097087378,-0.5240793201133145,-0.5087719298245614,-0.4878048780487805,-0.4939759036144578,-0.4878048780487805,-0.5371900826446281,-0.4909090909090908,-0.4733542319749216,-0.4324324324324324,-0.373134328358209,-0.3587786259541985,-0.3225806451612903,-0.34375,-0.328,-0.3029045643153527,-0.282051282051282,-0.2363636363636364,-0.2149532710280374,-0.282051282051282
BLNT_37-L^D19,12.0,0.3388293193823754,0.0464751241354122,0.1116519363581363,0.6219972997502919,1.0559336927496868e-05,-9.362000000000002,-0.1493674665144582,0.0018632812785989,0.0358686730506155,0.0279617061792691,1.2161902878017113e-07,0.454621978298508,0.6813019071455583,-0.0051699077025235,0.1249337605269808,0.1494409878594382,0.0201773989587328,0.0935593354639338,0.1249337605269808,0.7147808315133704,0.0619047619047619,-0.054054054054054,-0.10828025477707,-0.0410958904109588,-0.1599999999999999,-0.0582959641255604,-0.0070921985815602,-0.0666666666666666,0.0396039603960396,0.0741687979539642,0.1023622047244094,0.1200000000000001,0.1200000000000001,0.1666666666666667,0.2173913043478261,0.2650602409638556,0.2426035502958581,0.1475409836065573,0.126005361930295,0.0769230769230771,0.1229946524064171,0.0144927536231884,-0.0869565217391303,-0.0209790209790209,-0.0666666666666666,-0.0140845070422533,0.0579345088161209,0.0,0.0294117647058824,0.016949152542373,0.0714285714285714,0.0659898477157361,0.1764705882352941,0.05,0.1864406779661016,0.099476439790576,0.1506849315068494,-0.1176470588235293,-0.0769230769230768,-0.1583166332665331,-0.1268191268191266,-0.1025641025641024,-0.0255220417633409,0.0447761194029852,0.0319410319410318,0.108179419525066,0.1830985915492959,0.2280701754385965,0.0909090909090908
BLNV_40-L^F19,11.0,-0.0787389577542044,0.0112240515390121,-0.6460188564838484,-0.3296309209162629,0.0254202269336289,-26.0725,0.210355079847615,0.0372482164804989,-0.141199882757663,-0.0837705377393881,1.8030769416609623e-10,0.3775723654454997,0.1061729596652564,1.5059518141129415,-1.4961798271422575,-1.5059518141129415,-0.0286350793305803,-0.0371264808323094,-1.5059518141129415,1.6251312986416828,0.0714285714285714,-0.0344827586206895,0.0275229357798165,0.0135746606334843,0.0769230769230771,0.0181818181818183,-0.282051282051282,-0.0344827586206895,0.0516431924882629,-0.1971326164874551,-0.3313432835820895,-0.3372781065088757,-0.36,-0.3293413173652694,-0.2955974842767295,-0.3411764705882352,-0.1999999999999998,-0.3372781065088757,-0.3107692307692307,-0.36,-0.3760445682451252,-0.4729411764705882,-0.496629213483146,-0.5213675213675213,-0.530398322851153,-0.5284210526315789,-0.5428571428571429,-0.5625,-0.5519999999999999,-0.5519999999999999,-0.5642023346303502,-0.5130434782608695,-0.5333333333333332,-0.5022222222222221,-0.4399999999999999,-0.4885844748858446,-0.4850574712643677,-0.5076923076923077,-0.4536585365853657,-0.4653937947494033,-0.4850574712643677,-0.421188630490956,-0.4862385321100917,-0.4441687344913151,-0.4413965087281795,-0.4256410256410255,-0.367231638418079,-0.372549019607843,-0.3978494623655914
BPVK_29-L,13.0,0.348190861322737,0.096528001996778,0.2916555572003477,0.8840203339612918,1.933477437062273e-06,741.0176999999999,0.0174765061108278,0.0114148567023899,0.4880418554056397,0.1238813184025536,0.0001921009339806,0.2850424294822248,24.204444566953736,0.025470457800515,0.4104796466289554,-0.0553167018068139,0.0459409978168757,0.1355536601859645,0.4774647382742412,0.6795131593315331,-0.0412371134020618,0.0825892857142858,-0.0998515219005197,-0.1360883505521909,0.0020661157024792,-0.103180473372781,-0.0403640680648991,-0.1136695906432748,-0.0049240869922035,0.1384976525821595,0.1123853211009173,0.1531145981930575,0.2040714995034755,0.2912673056443025,0.1630695443645082,0.1206099815157115,0.0580279232111691,0.0407725321888412,-0.0202020202020202,-0.0028782894736841,-0.0415019762845849,-0.0876598946576372,-0.0961610137905328,-0.106155547364541,-0.1077998528329654,-0.1370106761565837,-0.1646572511195315,-0.1162536443148688,-0.1608996539792386,-0.2306472081218273,-0.2728635682158921,-0.2940320232896652,-0.250386398763524,-0.257046568627451,-0.1532821229050279,-0.1996699669966997,-0.1658066735466116,-0.084214501510574,-0.1130212143379663,-0.1428066454577589,-0.0998515219005197,-0.04301499605367,-0.0869728915662649,-0.052734375,-0.0523642047674872,0.0493292946776287,0.0297239915074309,0.0631302060499781,0.155862726406101
BQMM_18-L^C11,6.0,0.2513365883076066,0.8944052220556914,-2.9447004608294933,0.1018856065141266,0.0006067236024844,-0.4486,-4.059889506835173,-0.0001428656467646,0.256197748030735,0.0012157052635916,7.857204839770031e-13,0.1348379629629628,0.0018536033666833,0.2495854506552553,-0.2495854506552553,-0.2495854506552553,-0.0624658245210799,-0.0648214045278809,-0.2495854506552553,1.6251312986416828,0.0,-0.2,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,0.0,-0.2,-0.3333333333333332,0.0,-0.2,0.0,-0.3333333333333332,-0.2,-0.2,-0.3333333333333332,-0.2,-0.2,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,0.0,-0.2,-0.2,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,-0.6000000000000001
BUBP_92-L^K18,12.0,0.0413265306122449,0.2191708938254329,0.029299519881817,1.4329509517756245,-0.0003250803606208,9.0,-0.6253374671435754,-0.0004843787842092,-4.574468085106383,0.0154961259685019,9.789847282937804e-06,0.0973405628711593,6.151347692699248,-0.0334194893380393,0.8511333360799824,-0.0112800980264044,0.0007349338559529,-0.0178571428571428,0.088112502746649,1.6251312986416828,0.1270207852193994,-0.0586956521739129,-0.0997920997920996,-0.0979166666666666,0.0458937198067634,0.1102564102564103,0.0408653846153845,-0.0728051391862955,-0.0291479820627802,-0.0504385964912279,-0.1891385767790262,-0.2098540145985401,-0.2430069930069929,-0.2198198198198198,-0.2212230215827337,-0.3004846526655896,-0.2901639344262294,-0.372463768115942,-0.3669590643274854,-0.3556547619047618,-0.3389312977099236,-0.3191823899371069,-0.3419452887537993,-0.2585616438356164,-0.2295373665480427,-0.2127272727272727,-0.2363315696649029,-0.1704980842911877,-0.1752380952380952,-0.2011070110701106,-0.2069597069597069,-0.2376760563380281,-0.2212230215827337,-0.234982332155477,-0.1981481481481481,-0.17680608365019,-0.1906542056074766,-0.149312377210216,-0.1374501992031871,-0.127016129032258,-0.1391650099403578,-0.1704980842911877,-0.2198198198198198,-0.2376760563380281,-0.199630314232902,-0.1830188679245282,-0.1921641791044777,-0.1981481481481481,-0.2430069930069929
