firms,age,agr,cash,cashdebt,chatoia,chcsho,che,chpmia,chtx,egr,herf,lgr,mve_ia,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,21.0,0.2936037466713539,0.0854038536916877,0.2116650390477371,1.3386447996767483,0.0001319367970102,-1.777,0.0821376310828602,0.0082897932299685,0.4124598002708191,5.257454861008508e-08,0.1625355519958155,0.2548837775550477,0.0071056309263628,-0.0112465689587929,0.0031861692338015,0.0202076333107598,0.0513182364267728,0.2208223579741823,0.8588856372422081,0.0526315789473683,0.0555555555555553,-0.0446927374301676,0.1793103448275861,0.1554054054054054,0.1103896103896102,0.096153846153846,0.0490797546012269,0.3359375,0.3153846153846154,0.3153846153846154,0.1875,0.2573529411764705,0.1632653061224489,-0.109375,-0.3048780487804878,-0.3214285714285714,-0.316,-0.3914590747330961,-0.1739130434782608,-0.1275510204081632,-0.05,-0.0338983050847457,-0.0338983050847457,-0.0552486187845304,-0.1857142857142857,-0.05,0.0891719745222929,0.0178571428571427,0.0058823529411764,0.0687499999999998,0.0891719745222929,0.0555555555555553,0.1103896103896102,0.0687499999999998,0.0822784810126582,0.1399999999999999,0.2481751824817517,0.3359375,0.513274336283186,0.6132075471698113,0.693069306930693,0.7272727272727273,0.693069306930693,0.6285714285714286,0.5545454545454545,0.6285714285714286,0.7628865979381443,0.78125
BBOU_00-L,21.0,0.1290946527734448,0.0809640273107102,0.1443180070736583,0.6539652753911711,0.0001119284408554,142.0,0.084869645794184,0.0101391402009109,-0.0791881074899942,4.269185132090276e-05,0.1947350658116773,14.68977469921686,-0.030312170969771,-0.0035088550629081,0.0528549832821661,0.0283488063660477,0.1592673082893511,0.1509270704573547,0.3232585232784706,0.0423076923076921,0.0297029702970297,0.0890052356020942,0.0810810810810811,0.118279569892473,0.1594202898550725,0.2336892052194543,0.2760736196319018,0.3164556962025315,0.2935323383084578,0.1366120218579234,0.0822060353798128,0.1751412429378531,0.0536980749746709,0.0844629822732012,0.0297029702970297,0.1845102505694762,0.156840934371524,0.063394683026585,-0.0009606147934677,-0.0170132325141776,0.0067763794772508,0.0077519379844961,-0.037037037037037,-0.0361445783132529,-0.0449954086317723,-0.0449954086317723,-0.0066857688634193,0.0420841683366732,-0.001919385796545,-0.040590405904059,-0.0170132325141776,0.0077519379844961,0.0441767068273091,0.038961038961039,0.0379241516966069,0.0655737704918033,0.0655737704918033,0.1052072263549415,0.1063829787234043,0.121898597626753,0.1292073832790443,0.1711711711711712,0.149171270718232,0.142857142857143,0.1738148984198646,0.2293144208037825,0.2336892052194543,0.2264150943396226
BBTU_63-L^C18,21.0,-0.1637964321569234,0.0229035833025489,0.1445356277791836,0.8876130989464848,1.6354927161332975e-05,-63.1,0.2995484946159476,-0.0094995366079703,-0.8158536585365854,5.246625243201656e-07,-0.2955819828701707,0.673727226208301,-0.0962840415831965,0.8806415834826381,-0.1131005942395145,0.015289079229122,-0.0536519386834986,-0.1193584165173619,0.3391194305454955,0.0,0.1039999999999998,-0.1533742331288343,-0.1585365853658537,-0.0980392156862746,-0.1210191082802548,-0.206896551724138,-0.31,-0.1481481481481482,-0.0281690140845071,-0.0612244897959184,-0.1265822784810127,-0.0860927152317881,-0.034965034965035,-0.142857142857143,-0.2923076923076924,-0.3428571428571429,-0.3397129186602871,-0.4712643678160919,-0.5018050541516246,-0.5035971223021583,-0.4588235294117647,-0.4712643678160919,-0.4981818181818181,-0.4712643678160919,-0.6000000000000001,-0.6300268096514745,-0.6208791208791209,-0.591715976331361,-0.6300268096514745,-0.6023054755043229,-0.6023054755043229,-0.5953079178885631,-0.6000000000000001,-0.6434108527131783,-0.6123595505617978,-0.6011560693641619,-0.6057142857142858,-0.5855855855855856,-0.5818181818181818,-0.5818181818181818,-0.6045845272206305,-0.5880597014925373,-0.6134453781512605,-0.8539682539682539,-0.8444193912063134,-0.8438914027149321,-0.8426453819840365,-0.8298397040690506
BFRL_28-L,21.0,-0.0978789239647906,0.0350654940344508,-0.021940677752744,0.3968182574311608,0.0001504914629804,8.5994,-0.2573675685290357,0.0017329427797366,-0.2532720637449499,6.030325447777726e-08,-0.0616596210959953,0.0798549942040788,-0.19266807039165,1.19266807039165,0.19266807039165,-0.0037276171773924,-0.0240764937656365,0.19266807039165,1.792313524615904,-0.0220264317180616,0.004424778761062,-0.0021978021978021,0.0294784580498865,0.0657276995305164,0.0582750582750581,0.0533642691415314,0.0179372197309417,-0.0299145299145298,0.0389016018306636,0.0088888888888889,-0.0215517241379309,0.0682352941176471,-0.4595238095238095,-0.4677608440797186,-0.6106346483704974,-0.6024518388791593,-0.8086809945217025,-0.7777777777777778,-0.8301533857089413,-0.8054007715387912,-0.7744659711872827,-0.7702429149797572,-0.7585106382978724,-0.7360465116279069,-0.7300832342449465,-0.749448123620309,-0.7411630558722919,-0.7668207498715973,-0.791264367816092,-0.8325958702064897,-0.8266513936617029,-0.825585862466385,-0.8322866642039157,-0.8293233082706767,-0.8309124767225327,-0.8314147790568139,-0.8305337812616648,-0.8258534714230916,-0.817817014446228,-0.820695102685624,-0.8208366219415943,-0.8136288998357963,-0.8341249543295579,-0.8289374529012811,-0.824507151140317,-0.8251829033500192,-0.8236893203883495,-0.8252501924557352
BJJT_37-L,20.0,0.2966239476576951,0.0868636001360495,0.0028794949808802,0.0308038056996395,0.0001800008484037,-12.999999999999998,0.774966596116695,-0.0004942984692291,0.0625984251968503,8.645306223142479e-08,0.2654423807366624,0.6414583540664405,-0.2155497534087612,0.2155497534087612,0.2155497534087612,0.0007610642107955,0.0230174081237911,0.2155497534087612,-0.5088729353808975,-0.0080645161290322,-0.0498084291187739,-0.0915750915750915,0.1022222222222222,0.3262032085561497,0.24,0.4674556213017751,0.4090909090909091,0.4761904761904763,0.4335260115606936,0.3932584269662922,0.3932584269662922,0.2916666666666667,0.4011299435028248,0.1272727272727272,0.0973451327433629,0.1980676328502415,0.1481481481481481,-0.0236220472440945,-0.0948905109489052,-0.0948905109489052,-0.0387596899224806,-0.0534351145038168,-0.1014492753623187,-0.1705685618729098,-0.3386666666666666,-0.3386666666666666,-0.3768844221105527,-0.4311926605504588,-0.4150943396226415,-0.437641723356009,-0.4608695652173913,-0.4464285714285715,-0.4464285714285715,-0.4245939675174013,-0.4232558139534883,-0.3861386138613861,-0.3980582524271845,-0.2974504249291784,-0.2748538011695907,-0.2439024390243902,-0.253012048192771,-0.2439024390243902,-0.3168044077134986,-0.2484848484848484,-0.2225705329153604,-0.1621621621621621,-0.0746268656716419,-0.0534351145038168
BLNT_37-L^D19,13.0,0.0745263601599495,0.0510667209738539,0.1003973775880908,0.63262251431653,0.0019333578020778,8.605500000000001,0.0061503690069151,0.0023418950729323,0.024246586196878,1.888925379691324e-07,0.0871870404820469,0.5613593945297991,-0.0105455727771453,0.1221160919082076,-0.0510838811503228,0.0122525170284171,0.0649253799628501,0.1221160919082076,0.7267707580172406,0.1282051282051282,-0.0487804878048779,-0.1118012422360248,-0.1099585062240664,-0.0115207373271889,0.0540540540540539,0.0165876777251186,-0.0381165919282511,0.0214285714285713,-0.0337837837837838,-0.0891719745222929,-0.0205479452054794,-0.142,-0.0381165919282511,0.0141843971631203,-0.0466666666666666,0.0618811881188119,0.0971867007672633,0.1259842519685039,0.1439999999999999,0.1439999999999999,0.1916666666666666,0.2434782608695651,0.2921686746987952,0.2692307692307694,0.1721311475409834,0.1501340482573727,0.1,0.1470588235294117,0.0362318840579711,-0.067391304347826,0.0,-0.0466666666666666,0.0070422535211267,0.0806045340050376,0.0214285714285713,0.0514705882352941,0.0387409200968522,0.0943877551020409,0.0888324873096446,0.2016806722689077,0.0725,0.2118644067796611,0.1230366492146597,0.1753424657534246,-0.0987394957983193,-0.057142857142857,-0.1402805611222445,-0.108108108108108
BLNV_40-L^F19,12.0,-0.2298447561083179,0.0436055449935256,-1.0537296167388812,-0.3717762815201505,0.0254202269336289,15.488,1.3303769522705895,-0.0012530674953248,-0.282674690138315,1.0782367109527851e-09,0.0222231342211644,0.1048820871837395,-1.201816299642387,1.1437022645546675,1.201816299642387,0.0447912192794082,0.0587601888139031,1.201816299642387,1.792313524615904,-0.0454545454545454,0.0999999999999998,0.0999999999999998,0.064516129032258,0.4163090128755364,0.3524590163934427,0.3095238095238095,0.375,0.4732142857142856,0.4224137931034484,0.5137614678899081,0.4932126696832579,0.5865384615384615,0.4999999999999998,0.0576923076923077,0.4224137931034484,0.5492957746478873,0.182795698924731,-0.0149253731343284,-0.0236686390532544,-0.0571428571428571,-0.0119760479041916,0.0377358490566037,-0.0294117647058823,0.1785714285714286,-0.0236686390532544,0.0153846153846153,-0.0571428571428571,-0.0807799442896936,-0.2235294117647059,-0.2584269662921349,-0.2948717948717948,-0.3081761006289307,-0.3052631578947369,-0.3265306122448981,-0.35546875,-0.3400000000000001,-0.3400000000000001,-0.357976653696498,-0.2826086956521739,-0.3125,-0.2666666666666667,-0.175,-0.2465753424657534,-0.2413793103448275,-0.2747252747252747,-0.1951219512195121,-0.2124105011933175,-0.2413793103448275
BPVK_29-L,14.0,0.0472031816739817,0.2076110707534767,0.2667918095735633,0.5291821782711992,0.0001187647842507,95.36379999999996,-0.281512383107222,-0.0004254602677871,0.1582526977887568,0.0002031957745564,-0.0099396664117311,22.838123977197323,0.0132673182498511,-0.0282015873758684,0.0782364746655965,0.0296400033605192,0.0793176512543906,-0.0739727790558924,0.7775985792374757,0.0570286959680348,0.0117603822124219,-0.0043399638336346,-0.0360644257703079,-0.0104241552839683,0.0166174298375185,0.0687111801242235,0.1840860215053763,0.1352577319587629,0.2290178571428571,0.0219005196733481,-0.0192376202351264,0.137603305785124,0.018121301775148,0.0894341115947765,0.0062134502923976,0.1296676241280263,0.2924882629107981,0.2628440366972477,0.3090822634331907,0.3669314796425025,0.4659211927582534,0.3203836930455634,0.272181146025878,0.2011343804537522,0.1815450643776823,0.1123232323232323,0.1319901315789473,0.0881422924901185,0.0357411587659894,0.0260901975400671,0.0147438260228529,0.0128771155261222,-0.0202846975088968,-0.0516706854977608,0.003279883381924,-0.0474048442906573,-0.1265862944162435,-0.1745127436281859,-0.1985443959243086,-0.1489953632148377,-0.1565563725490195,-0.0387569832402234,-0.0914191419141914,-0.0529755761953903,0.0396525679758308,0.0069495245062181,-0.0268646164722515,0.0219005196733481
BQMM_18-L^C11,7.0,-0.2445157045014318,0.8720741940232591,-4.3453259532595325,-0.111149420071979,0.0006067236024844,-0.4299,39.778132060776834,-0.0011306870313904,-0.2408586431745177,2.84354350127135e-14,-0.3416624171341152,0.0013950985746204,0.8287119538099651,-0.8287119538099651,-0.8287119538099651,-0.0088116878420405,-0.0090975843486702,-0.8287119538099651,1.792313524615904,0.0,-0.2,0.0,-0.3333333333333332,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,0.0,-0.2,-0.3333333333333332,0.0,-0.2,0.0,-0.3333333333333332,-0.2,-0.2,-0.3333333333333332,-0.2,-0.2,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,0.0,-0.2,-0.2,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332
BUBP_92-L^K18,13.0,0.1193042626163645,0.1059631059631059,0.1218056962737813,1.469726010093011,-0.0003250803606208,42.0,-0.5751654672339144,-0.0009418412997409,-0.6190476190476191,1.4142293597723205e-05,0.0901176470588235,5.33181232606406,-0.2290608780390781,-0.1485802162296508,0.3529072465837788,0.0295469468154957,-2.109375,0.0821890145395799,1.3632654994182745,0.0293040293040294,0.011111111111111,-0.0471204188481676,0.0036764705882352,0.030188679245283,0.1818181818181818,0.2133333333333333,0.1188524590163935,0.2609699769053117,0.1869565217391304,0.1351351351351353,0.1374999999999999,0.318840579710145,0.4000000000000001,0.3125,0.1691648822269806,0.2242152466367712,0.1973684210526316,0.0224719101123596,-0.0036496350364964,-0.0454545454545454,-0.0162162162162161,-0.0179856115107912,-0.1179321486268175,-0.1049180327868851,-0.208695652173913,-0.2017543859649122,-0.1875,-0.166412213740458,-0.1415094339622642,-0.1702127659574468,-0.0650684931506849,-0.0284697508896797,-0.0072727272727273,-0.0370370370370369,0.0459770114942528,0.04,0.0073800738007379,0.0,-0.0387323943661971,-0.0179856115107912,-0.0353356890459364,0.011111111111111,0.038022813688213,0.0205607476635514,0.0726915520628683,0.0876494023904383,0.1008064516129032,0.0854870775347911
