firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48,mom49
50906,0.6158476936,0.1052491902,1.5699197398,0.0,0.2189815488,1.1939025504,0.2357486495,0.2630448234,0.9593203134,0.0053714632,0.4283744492,-0.072455575,-0.514867048,0.1594385301,0.0724555755,12.0,0.0560498439,0.1133966245,0.3229016029,0.0748903723,0.0772424907,0.2639696809,0.1317736648,0.1588044302,0.2131166833,0.5255185369,0.0,2.7460827642,-0.13675318,1.8395607339,-0.142441496,10.00084687,6.9581123788,0.8611704294,0.0,0.0,1.0,0.0,0.0,1.2434597628,7.0,0.1748030481,0.0904192231,-0.100955533,-7.666422178,2.0584350182,1.1305235825,-3.505846207,-247.8456603,0.068496935,12.759916091,-0.007066908,0.0223699549,0.0287660965,0.020967455,0.0978454788,0.0546208,0.0,-0.001415929,-0.395001187,0.0145631069,7.0,13.560326653,1.4760001973,0.0,0.0357142873,0.0258014225,0.0381582755,0.9429966813,4.614276485,1.7776561e-08,2.3969745e-08,0.9115398045,0.8309048152,0.0862220787,0.0570743644,0.0965608479,0.4106399502,-0.289308176100629,-0.0421686746987951,0.1357142857142856,0.1865671641791044,0.2619047619047618,0.5142857142857142,0.6224489795918366,0.7096774193548387,1.4274809160305342,1.4461538461538463,1.0921052631578947,0.9875,0.7282608695652173,0.7865168539325842,0.8705882352941177,0.8068181818181819,0.8488372093023255,1.2714285714285714,1.1632653061224492,1.25531914893617,1.5853658536585369,1.3382352941176472,1.5238095238095235,1.3909774436090228,1.7413793103448274,1.544,2.347368421052632,2.4565217391304346,2.3125,1.97196261682243,2.278350515463917,2.3125,2.419354838709677,2.0576923076923075,2.4565217391304346,1.9444444444444449,1.4651162790697674,1.65,0.8816568047337279,0.8705882352941177,1.064935064935065,1.3043478260869563,1.287769784172662,1.9444444444444449,1.484375,0.3706896551724137,0.4722222222222223,0.65625,0.7472527472527473
18980,2.5982620591,0.1254931469,-21.30837628,0.0982528893,5.9514053387,12.215909885,0.0388746327,-0.114032603,0.3959506356,0.0012832029,-0.154180538,-0.023101453,-1.675252468,0.3357258509,0.023101453,17.0,-0.060382354,-0.198628295,-0.021286985,-0.171789152,-0.021714642,0.3467240837,0.3509397631,-0.110439758,-0.0059815,0.4225020002,0.0,1.2950222597,0.0662413286,0.8048912159,0.1657607801,41.740183915,4.5972627111,0.0579902728,0.0,0.0,0.0,0.0,0.0,1.3503753418,6.0,0.0629715274,0.0156637012,-0.299501825,0.6302729054,-15.26469091,-0.518607572,-0.165509934,-143.0677513,0.5068486857,11.06424096,0.0016082959,0.0127354933,0.0431131489,-0.285446003,0.034229214,-0.042792469,1.0,-0.012587761,4.5180265655,-0.23430467,2.0,9.0613762188,0.46844055,0.0,0.25,0.0928577939,0.1395005009,0.8928711266,1.9603384034,8.756084e-07,5.6129138e-08,1.4957762099,2.2373464701,0.5100008845,0.1032495925,-0.487013,0.4911290615,0.0,0.0,-0.0769230769230768,-0.0769230769230768,0.0909090909090908,0.0909090909090908,0.1999999999999999,0.0909090909090908,0.5,0.0,-0.1428571428571429,-0.2941176470588235,-0.4,-0.2941176470588235,-0.4,-0.4782608695652174,-0.6,-0.5714285714285714,-0.6363636363636364,-0.6842105263157895,-0.6923076923076923,-0.7272727272727273,-0.7209302325581395,-0.7142857142857143,-0.7142857142857143,-0.7446808510638299,-0.7446808510638299,-0.7391304347826086,-0.7333333333333334,-0.7272727272727273,-0.7,-0.6923076923076923,-0.6842105263157895,-0.7333333333333334,-0.7333333333333334,-0.7446808510638299,-0.7073170731707317,-0.625,-0.625,-0.6363636363636364,-0.6363636363636364,-0.7333333333333334,-0.6842105263157895,-0.7391304347826086,-0.6470588235294117,-0.7818181818181819,-0.8032786885245902,-0.8153846153846154,-0.7966101694915254
10568,2.0068233714,0.1103559436,-12.44296117,0.0643653459,6.2248488919,8.284110141,0.0025423729,0.1960903711,0.2395740628,-0.005344021,0.2664232779,0.0051758583,0.3544303797,0.0712424446,0.0051758583,9.0,-0.232292794,-0.147619048,0.4231599934,-0.215058692,-0.415608611,0.0331,-0.538764853,0.1335581682,0.0203234266,0.5265442002,0.0,1.190187765,-0.531011534,0.9473046638,0.1588355073,34.022065313,6.0394829612,0.0517396043,0.0,0.0,1.0,0.0,0.0,0.6086647727,3.0,1.5580963926,0.1775693228,-0.363949714,1.3257679191,27.970913641,-4.836322535,-0.014192314,-59.39833061,0.1116663323,9.4605249956,0.0042336283,0.0033156672,0.0136003427,0.6360241773,0.0232941765,-0.472107523,0.0,0.0573807925,-0.500204082,0.0758345444,2.0,6.3243589624,0.0701813298,0.0,0.0147058824,0.0127941053,0.0690653336,1.3453461952,1.2178050673,2.0536754e-06,16.578947634,0.3190288787,0.1017794255,1.8325275729,0.0406419754,0.2146665124,0.1582960521,-0.0384615384615384,0.0833333333333332,0.04,-0.1333333333333333,-0.1333333333333333,0.0,0.0833333333333332,-0.1475409836065574,-0.0714285714285714,-0.2571428571428571,-0.2571428571428571,-0.2571428571428571,-0.3157894736842105,-0.2777777777777778,-0.3809523809523809,-0.3809523809523809,-0.3953488372093023,-0.3157894736842105,-0.3157894736842105,-0.2777777777777778,-0.3157894736842105,-0.2972972972972972,-0.4468085106382978,-0.4583333333333333,-0.4583333333333333,-0.4347826086956522,-0.3809523809523809,-0.3953488372093023,-0.409090909090909,-0.4583333333333333,-0.4583333333333333,-0.5357142857142857,-0.543859649122807,-0.48,-0.5,-0.5,-0.5,-0.5185185185185186,-0.4347826086956522,-0.4222222222222223,-0.3809523809523809,-0.409090909090909,-0.4347826086956522,-0.5737704918032787,-0.5737704918032787,-0.5666666666666667,-0.5666666666666667,-0.5357142857142857,-0.5593220338983051
10998,0.8085273425,0.0953387485,-17.31845238,0.0,0.4611528822,2.1660577146,0.1084899629,0.0762405297,1.0109207563,0.0089571337,-0.023029683,0.113744699,1.4611486486,-0.043965335,0.113744699,8.0,0.0019724514,0.1351351351,0.0396537064,-0.283508568,-0.023461597,0.6420581655,0.4429380058,0.0062794349,0.1424507908,0.4200026002,0.0,2.2440342188,0.0179580221,1.367627195,0.1235618757,213.49206349,5.6394129979,0.4024505997,0.0,0.0,1.0,0.0,0.0,1.6571851178,4.0,-0.143223868,-0.056379876,0.0169681766,0.1303735527,-1.266709707,-0.55869843,-0.055332462,-319.6260878,0.0829470253,9.1573614472,-0.01517976,0.0040588534,0.0063738671,-0.057569993,0.0089018843,-0.005236367,0.0,-0.024826579,0.8136058403,-0.108187135,3.0,10.359241701,1.6459299873,0.0,0.1111111119,0.0666979989,0.0799139465,1.018441664,2.3781106833,3.6714035e-06,1.1052632038,1.6240464289,2.6375268033,-0.447254576,0.086500024,-0.657289009,0.584761059,-0.0833333333333333,0.0,0.1428571428571428,0.0434782608695651,0.411764705882353,0.6000000000000001,0.7142857142857142,0.5,0.6000000000000001,0.411764705882353,0.2972972972972973,0.3333333333333332,0.3333333333333332,0.263157894736842,0.6551724137931034,0.5483870967741935,0.411764705882353,0.6551724137931034,0.6000000000000001,0.6551724137931034,0.7142857142857142,0.1428571428571428,0.411764705882353,0.1999999999999999,0.2307692307692308,-0.1999999999999999,-0.25,-0.2941176470588235,-0.1111111111111111,0.0434782608695651,0.0,0.0909090909090908,0.0434782608695651,-0.0769230769230768,0.0,0.0,-0.1272727272727273,0.0434782608695651,0.0,-0.04,-0.25,0.0,0.0434782608695651,0.411764705882353,0.1999999999999999,-0.25,-0.25,-0.3513513513513513,-0.1999999999999999
11181,0.7811414091,0.0680693711,-29.97176631,0.0,0.8728758711,1.3833713582,0.0939573661,-0.029126666,0.5000960604,0.0283534137,-0.103100191,-0.261810588,-6.457161591,0.5076042993,0.2618105875,8.0,0.0,-0.035714286,0.01685938,0.1295208453,0.0574949443,0.3404324669,0.2027648682,-0.096747338,0.0694353919,0.5197870943,0.0,4.9472943584,3.1062159203,4.9472943584,3.8266282819,63.398409091,10.177423474,0.5843834535,0.0,0.0,1.0,0.0,0.0,1.0983651078,7.0,-0.199324057,0.0651983471,-0.216260568,0.5762509708,-0.181099938,1.0460111615,0.5297921307,-2193.98307,0.0540961397,12.669492147,0.002936347,0.0179152576,0.0352857797,-0.002019019,0.003327457,0.7813131527,2.0,0.0015002131,1.0968763366,0.025043386,7.0,12.443311391,0.9275846702,0.0,0.0531914905,0.0261748591,0.0422122762,0.8289964413,3.787962617,1.8057911e-08,2.4095442e-08,1.8390046569,3.3819381281,0.0526294404,0.072266399,-0.328428087,0.1851851027,0.1587301587301588,-0.1923076923076923,-0.0999999999999999,-0.0735294117647058,-0.0307692307692307,0.0,0.1454545454545455,0.0862068965517242,0.1886792452830188,-0.125,-0.2588235294117647,-0.4220183486238532,-0.4272727272727272,-0.4166666666666666,-0.3883495145631068,-0.34375,-0.4220183486238532,-0.2125,-0.3225806451612903,-0.4166666666666666,-0.3571428571428571,-0.4324324324324324,-0.5078125,-0.5625,-0.60625,-0.6337209302325582,-0.556338028169014,-0.5800000000000001,-0.4375,-0.475,-0.4615384615384615,-0.4272727272727272,-0.5,-0.5594405594405594,-0.5153846153846153,-0.5153846153846153,-0.556338028169014,-0.475,-0.5078125,-0.5855263157894737,-0.5800000000000001,-0.5961538461538461,-0.5800000000000001,-0.496,-0.5227272727272727,-0.6612903225806452,-0.668421052631579,-0.625,-0.65
39116,1.2387752054,0.1453024645,-17.06369983,0.0,0.3489768484,3.5599103809,0.0063841243,-0.098449639,0.8879126098,0.0,-0.477315436,-0.039177906,-0.451480263,0.2109036594,0.0391779062,16.0,-0.086491115,-0.15,-0.012398064,0.0652469871,0.231164071,0.1529334212,0.0106745665,-0.166299148,0.1328816523,0.5363292568,0.0,2.7249610794,0.6596088951,0.4398892925,0.8945134967,103.98603839,55.11933395,0.4767277856,0.0,0.0,1.0,0.0,0.0,1.3990274287,8.0,0.145015014,0.3482090571,-0.14089111,0.0552113303,-0.186837738,-1.895774502,0.219807904,-130.5254882,0.0540866672,11.402238288,0.0,0.0875814386,0.1592051165,0.0304777023,0.1495033819,0.0077598894,2.0,0.0212708964,1.3467625899,-0.078855156,5.0,12.211324456,1.777400917,0.0,0.0852713212,0.0319679769,0.0533515529,0.748628355,7.9974398845,2.6800582e-08,9.8623127e-09,0.6926595318,0.479777227,0.6465202521,0.0922774796,-2.068322988,0.6049502059,0.2337662337662338,0.1492537313432835,0.54,1.40625,1.75,1.9615384615384617,2.08,2.208333333333333,1.9615384615384617,2.85,2.5,3.2777777777777777,2.6666666666666665,3.2777777777777777,3.052631578947368,3.8125,3.5294117647058822,3.2777777777777777,3.2777777777777777,2.5,2.347826086956522,1.9615384615384617,2.6666666666666665,2.85,2.5,1.851851851851852,1.75,1.75,2.08,1.6551724137931036,1.5666666666666669,1.75,1.3333333333333337,1.3333333333333337,1.0810810810810811,1.75,1.851851851851852,1.9615384615384617,1.6551724137931036,2.5,3.8125,3.8125,3.8125,3.052631578947368,3.052631578947368,2.208333333333333,1.851851851851852,1.4838709677419355,1.3333333333333337
50032,0.2097920654,0.0450820312,142.15465369,0.0123835099,0.1785022732,1.5849045179,0.1789986016,0.0809695016,1.0997316245,0.9985065711,-0.008110828,-0.07080493,-0.587007109,0.0715455041,0.0708049303,17.0,0.0093065397,0.0545454545,0.1072255335,-0.07804531,0.0253151249,0.0975809923,0.0351180362,0.1246907025,0.1704049093,0.5201045989,0.0,1.1568121154,-0.039056648,0.1958409542,-0.119425741,350.72598472,157.22083636,0.3847064678,0.0,0.0,0.0,0.0,0.0,2.1726362357,7.0,-0.001743026,0.0078950853,0.0410180427,-0.127604873,-0.524012665,-0.225213618,-0.136122131,4116.2747384,0.0611992245,15.557784571,0.0016029215,0.0276679562,0.0519374257,0.0230485557,0.0302073002,0.0028377438,0.0,0.0,-0.113190353,-0.004622083,6.0,14.718432322,0.4320998799,0.0,0.0461538471,0.0163608165,0.0213520913,0.5278202133,1.1318333037,1.1962985e-09,6.2471371e-08,0.9747252796,0.9500893708,0.315323197,0.0310668861,-0.110587813,0.0879756006,-0.0609756097560976,-0.0381231671554251,-0.1436031331592689,-0.127659574468085,0.0649350649350648,0.0580645161290322,0.1232876712328767,0.2713178294573644,0.3387755102040817,0.3279352226720649,0.2519083969465649,0.1756272401433691,0.1388888888888888,-0.3776091081593927,-0.2838427947598253,-0.2743362831858407,-0.2038834951456311,-0.2171837708830548,-0.2612612612612612,-0.2854030501089324,-0.3021276595744681,-0.2678571428571429,-0.2389791183294664,-0.219047619047619,-0.1413612565445026,-0.1013698630136986,-0.076056338028169,-0.015015015015015,0.0282131661442006,-0.0238095238095238,0.0825082508250825,0.1468531468531468,0.1349480968858132,0.0825082508250825,0.1714285714285714,0.3015873015873016,0.2238805970149253,0.28125,0.28125,0.41991341991342,0.4841628959276018,0.5045871559633028,0.6157635467980296,0.6565656565656566,0.5327102803738317,-0.3643410852713178,-0.3618677042801557,-0.2838427947598253,-0.2645739910313901
49330,0.6262560289,-0.026263565,1.1145933903,0.0,0.5448841941,2.7022646202,-0.125969552,-0.054956707,0.5463961044,0.0,-0.072222163,0.0461800801,2.1370157819,-0.082389218,0.0461800801,17.0,-0.018581579,-0.076923077,-0.065048759,0.6048030352,-0.094117901,0.0727574139,0.0519883055,-0.039614459,-0.040249466,0.4936989317,0.0,1.7613472533,-0.084496199,0.5849863286,-0.126895703,31.955959896,181.18089431,0.0324828045,0.0,0.0,1.0,0.0,0.0,1.004263633,1.0,0.027575764,-0.009322409,-0.197450341,-0.136029903,-15.26469091,0.0905495478,-7.091398408,12.395869437,0.1153150024,11.716143821,0.0071853838,0.0029261043,0.0054259412,-0.612640675,0.0,1.2670807088,0.0,0.0190225583,-0.445544554,-0.008247029,2.0,9.1723528981,0.1219185423,0.0,0.0591397844,0.022014521,0.0165525337,1.3160750073,0.8205771515,5.5508639e-07,1.3292221e-07,0.9392436375,0.8821786106,-0.147720202,0.045902847,-0.230438557,0.3489236454,-0.1048951048951049,0.2118644067796611,0.4019607843137254,0.2434782608695651,0.1818181818181818,0.4742268041237114,0.5714285714285714,0.5543478260869565,0.7125748502994012,0.311926605504587,0.1673469387755102,0.0957854406130267,-0.1437125748502994,-0.2590673575129534,-0.2532637075718016,-0.268542199488491,-0.2704081632653061,-0.2571428571428571,-0.3558558558558559,-0.3254716981132075,-0.3700440528634361,-0.3822894168466523,-0.4325396825396825,-0.428,-0.4446601941747573,-0.460377358490566,-0.4742647058823529,-0.4562737642585551,-0.4435797665369649,-0.437007874015748,-0.4703703703703703,-0.44140625,-0.4883720930232558,-0.4210526315789473,-0.3270588235294117,-0.3024390243902439,-0.2938271604938272,-0.2832080200501253,-0.3108433734939759,-0.3041362530413625,-0.3075060532687651,-0.2121212121212121,-0.1090342679127726,-0.0891719745222929,-0.0103806228373702,-0.192090395480226,-0.2433862433862433,-0.2473684210526315,-0.2571428571428571
69171,0.740430622,-0.540430622,-29.54716981,0.0,2.220215311,5.3730861244,-0.085477416,-0.03580611,1.1983136721,-0.0074206,0.1642099981,-0.058595931,-0.336874723,-0.358373206,0.0585959306,8.0,-0.031607923,-0.347744361,0.8195406489,0.8264083706,-0.012642131,0.1128500824,0.1630761681,-0.01758167,-0.410756782,0.4695855457,0.0,1.7361881518,0.1015878978,0.8527845574,0.1408845397,169.50566038,6.7527059531,-0.230118247,0.0,0.0,1.0,0.0,0.0,2.9284150405,3.0,20.345237101,0.6143316914,-0.431792934,-7.919475323,-0.348974786,-1.126582417,-2.204290174,-1780.578891,0.0316258483,9.6730675923,0.015199637,-0.033103448,-0.110344828,0.1350478469,0.0103917493,-0.012547195,2.0,0.0538277512,0.0096153846,0.0,2.0,6.9511738993,0.6216108453,0.0,0.4375,0.1633478504,0.143841928,1.6792344316,7.4769877064,1.3424279e-06,1.1052631754,1.5454931266,2.3885490044,-2.048155138,0.1232325626,0.9861110721,0.9717687149,0.1111111111111111,0.125,0.125,0.125,0.125,0.2857142857142858,0.125,-0.0999999999999999,0.0,-0.0999999999999999,-0.4705882352941176,-0.55,-0.4705882352941176,-0.4705882352941176,-0.3076923076923077,-0.3076923076923077,-0.3571428571428571,-0.3076923076923077,-0.4,-0.4375,-0.3571428571428571,-0.5,-0.5909090909090908,-0.625,-0.6538461538461539,-0.7352941176470589,-0.7272727272727273,-0.71875,-0.6785714285714286,-0.6538461538461539,-0.5263157894736843,-0.5,-0.5714285714285714,-0.64,-0.64,-0.6785714285714286,-0.7096774193548387,-0.6896551724137931,-0.7,-0.6666666666666667,-0.6538461538461539,-0.625,-0.6538461538461539,-0.6666666666666667,-0.75,-0.8269230769230769,-0.7096774193548387,-0.7352941176470589,-0.71875
68814,-0.025659165,-0.210099607,2.8081704873,0.0030902107,0.8475857729,0.220377162,-0.178978902,-0.148696703,0.091006387,0.131488484,-0.152601798,-0.075117021,-0.332837548,-0.140170569,0.0751170207,12.0,-0.004028122,0.0714285714,-0.20032758,0.085386706,-0.073701613,1.0073313783,0.0387637096,0.0005178664,-0.107487923,0.3876909725,0.0,1.9621974916,0.4456675595,1.7613495849,0.5781814596,0.7950645121,7.6933333333,-0.20158593,0.0,0.0,1.0,1.0,1.0,0.4722222222,2.0,-0.367212005,0.1277185878,0.0832001188,-49.20850336,2.2211223966,-1.136512119,7.580031656,-457.9043896,0.047181964,11.380887243,-0.000568788,-0.064482115,-0.92010772,-0.007948286,0.3183744385,0.0224741575,1.0,-0.022015755,-0.410723318,0.0,1.0,11.925552366,1.6367589634,0.0,0.097560972,0.0431165842,0.0628842688,0.6773723129,6.912292332,4.2470713e-08,9.5400487e-09,1.2508519488,1.5646305978,-1.498636427,0.1184731907,1.5875000631,0.2279052722,0.0294117647058822,-0.1052631578947368,-0.0285714285714285,0.2592592592592593,0.7,1.125,1.0,0.7,1.4285714285714284,1.6153846153846154,1.0,0.7894736842105263,1.125,1.0,0.6190476190476191,1.2666666666666666,2.090909090909091,1.6153846153846154,1.125,1.2666666666666666,0.7894736842105263,1.0,0.8888888888888888,-0.081081081081081,-0.1282051282051282,-0.1282051282051282,-0.2608695652173913,-0.2608695652173913,-0.3333333333333333,-0.276595744680851,-0.3061224489795918,-0.3818181818181818,-0.4137931034482759,-0.4137931034482759,-0.3928571428571429,-0.2608695652173913,-0.3461538461538461,-0.3061224489795918,-0.3818181818181818,-0.276595744680851,-0.3818181818181818,-0.3928571428571429,-0.4035087719298246,-0.2916666666666666,-0.4516129032258065,-0.7364341085271318,-0.7605633802816901,-0.7638888888888888,-0.7806451612903226
