firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48,mom49
54594,0.6597575168,0.0313493155,2.1728612957,6.77091e-05,0.3827595692,1.118148156,0.0524501521,-0.259403559,0.137950938,0.0079209049,-0.519466168,-0.032553127,-1.272138229,0.0712299782,0.0325531268,47.0,-0.056208031,-0.12962963,-0.209591729,-0.251058338,0.0049328275,0.0955011839,-0.044769623,-0.06974507,0.0795479725,0.4919331688,0.0,2.7820665083,-0.259185599,1.0273159145,-0.472433342,27.431893688,6.9212070411,0.0948498593,0.0,0.0,0.0,0.0,0.0,0.3122091735,7.0,-0.022097501,-0.146263332,-0.109943885,1.6968730384,-0.58626263,0.0837103881,-2207.141621,0.0624291911,14.202568954,0.0016174444,0.013544312,0.0210483708,0.0279691898,0.030334728,0.0262601399,1.0,-0.000918555,1.4150077859,0.0638542632,3.0,14.699504362,2.0894489114,0.0,0.0503611229,0.0319074081,0.0393583205,0.4358587414,4.9463150621,1.4922735e-09,9.1200084e-09,2.1925452345,4.8072546054,0.0111063262,0.0535102756,0.064770167,0.094356988,-0.0766186033361606,0.0906567992599445,0.0449039881831609,-0.0109060402684564,-0.0872258064516129,-0.1528143712574851,-0.1210238568588469,-0.15078031212485,-0.1108597285067873,0.0542473919523101,-0.0234676974047487,0.2467395135706731,0.817574511819116,0.881382978723404,0.7527254707631317,1.054006968641115,0.711175616835994,0.7535944471988099,0.8064351378958121,0.9915540540540536,0.0237337192474673,-0.1693283231564114,-0.2157427937915743,-0.20854777355113,-0.1528143712574851,-0.1417131764134919,-0.1766759776536314,-0.1550406115623507,-0.0385974449578689,0.1754735792622133,0.0473793307669527,0.0879729314057213,-0.0317547221461813,-0.0613057324840764,-0.0527584359935727,-0.1904325932707713,-0.2566204287515763,-0.2614324493631239,-0.2421255624598244,-0.2539548618434929,-0.2391912239191225,-0.20854777355113,-0.1831408775981524,-0.1981410111085921,-0.1693283231564114,-0.1260192735359525,-0.0997709340799185,-0.1493506493506493,-0.0905116996657239
14526,0.5123668041,0.0160506834,3.282317757,0.0203815396,0.5431548764,1.2797851646,0.0744775578,-0.100879458,0.287753401,-0.027568733,-0.146777347,-0.117930684,-8.190399067,0.1475121857,0.1179306839,47.0,-0.032204805,-0.152777778,-0.112916676,0.067154186,0.0278941868,0.1228635319,0.2840362215,-0.021427983,-0.046505463,0.407320748,0.0,1.611908877,0.1685168127,0.9339698095,0.2935401032,25.561246106,9.4131854685,0.1045967316,0.0,0.0,0.0,0.0,0.0,0.6178397687,6.0,-0.136378138,-0.063158954,-0.459303987,-0.110652884,-13.92697595,0.0508887502,-2117.192475,0.0553124103,13.675095605,-0.007715597,0.0113246618,0.0232037452,0.0198037174,0.0807420086,-0.016730603,1.0,0.0024213075,0.9739361888,0.1222796598,4.0,14.171467127,2.0697898332,0.0,0.0551888086,0.0367763364,0.0432742405,0.5911915931,12.198864121,2.7848877e-09,7.5431175e-09,1.8557964146,3.4439803325,0.0322851567,0.048323386,-0.370922452,-0.098849863,-0.015025041736227,0.1104343220338983,-0.0244299674267099,0.0569700025207964,0.0294623127915543,0.1031307550644566,0.1935667520637631,0.0256849315068492,0.1211229946524063,0.1945868945868945,0.3235479797979799,0.5979420731707319,0.7551276684805357,0.962096396817969,1.0033444816053514,0.9421028253821212,0.8198784722222223,1.0305084745762714,1.0513698630136985,1.0139289145052834,0.3888704869161974,0.3177247014456317,0.2901538461538462,0.0964958158995814,0.1169419286094832,0.0754039497307001,0.1353912808015163,0.0337771203155818,-0.0347605893186003,0.1566896551724137,0.0404466501240694,0.1184315817551346,0.1748388904455029,0.2307014969181098,0.4046901172529311,0.1503429355281207,0.1614958448753463,0.0147628267182962,-0.1481105241771637,-0.1739558707643813,-0.1295412082208844,-0.0394043528064146,0.0199464850401362,-0.0327566320645905,-0.0280482151135836,-0.078664029883542,-0.0830964356002623,-0.161902858285029,-0.1215168657029122
11581,0.2720445744,0.0265393244,6.4873070565,0.0015899043,0.2693062959,0.3489077694,0.0816537848,-0.004909656,0.3112857791,0.0071410653,-0.122603576,-0.016990759,-0.347433602,0.0357599774,0.0169907591,35.0,0.0075109103,-0.086956522,0.071697899,-0.166014552,0.0418139959,0.2157238543,0.1466888931,0.003768073,0.1474614866,0.3841381121,0.0,2.6523032857,-0.179565836,2.0931999644,-0.187829701,3.7666723666,4.7292993631,0.1416144686,0.0,0.0,1.0,0.0,1.0,0.6976805688,7.0,0.0605915954,0.105062545,-0.31129061,-0.078644215,-1.654993065,0.1291272727,-9584.453988,0.0363924557,13.956732345,-0.000568822,0.0038829767,0.0077268691,0.0090140895,0.1557390568,-0.49233149,0.0,-0.002368546,1.5065551377,-0.113074627,4.0,14.095078382,1.167257175,0.0,0.051995784,0.0297662436,0.0344618449,0.4834056183,3.1603618938,3.5065732e-09,1.7069929e-08,0.9689533955,0.9388706827,0.005390895,0.0410439084,0.1745665972,-0.13380379,0.0105313547151746,0.0077182826821031,-0.1697138314785373,-0.1862095831710167,-0.215251690458302,-0.2375912408759123,-0.2146616541353383,-0.200229709035222,-0.154251012145749,0.0305870744943266,-0.0760725342768685,-0.0669941938365341,0.1716208637128435,0.1105794790005316,0.0043269230769231,0.1052910052910054,0.186931818181818,0.1670391061452514,0.224501758499414,0.2622356495468279,-0.0224613944782405,-0.0960623106880138,-0.1974644640799078,-0.14942996742671,-0.1566410981025433,-0.0478577939835916,-0.059432687978388,-0.087772925764192,-0.1580008061265617,-0.0564588979223125,-0.1833463643471461,-0.1427985227739023,-0.1456032719836399,-0.0873743993010047,-0.0047641734159122,-0.1839843749999999,-0.1241090146750524,-0.2512544802867382,-0.2906621392190153,-0.2683012259194396,-0.2882453151618399,-0.1053533190578158,-0.1129511677282377,-0.1015053763440859,-0.0797356828193832,-0.1559595959595959,-0.1743083003952569,-0.2087121212121211,-0.1807843137254902
15203,0.6443839518,0.0132561118,-83.34516603,0.0,0.6534703007,1.553703434,0.022349048,0.1090783386,0.3833962666,0.0234498309,0.1803057554,0.0604685175,5.6291079812,-0.061363973,0.0604685175,47.0,0.0791285271,0.094488189,0.1140613147,0.0131931873,1.1261499967,0.1022007336,-0.279347395,0.1208849652,0.0451196124,0.4915442601,0.0,1.5837127618,-0.052170743,0.3625601665,-0.099805305,498.06309751,9.3747653023,0.0851722005,0.0,0.0,1.0,0.0,0.0,0.6960734834,5.0,0.0981708848,0.0527103321,-0.129845899,0.2936951622,-1.757511296,0.0320033223,-11083.57145,0.0363924557,9.5317720366,0.0296229325,0.0191954834,0.0412746586,0.1114011275,0.0001438573,0.0184923742,1.0,0.0527755062,7.9174969228,0.2400578111,2.0,10.581563447,3.375862069,0.0,0.1347656399,0.0484897259,0.0864056326,0.8122762041,5.8311630845,4.2401505e-07,1.190639e-08,0.6299339454,0.3968167756,0.2442326021,0.0841666912,-0.201571903,-0.13380379,-0.045822102425876,0.0277008310249307,0.1008902077151334,0.005420054200542,0.0911764705882354,0.1293759512937595,0.1872,0.1967741935483871,0.1777777777777778,0.1272484200291688,0.2881944444444444,0.4899598393574296,0.5854700854700856,0.6129733489848268,0.575371549893843,0.701834862385321,0.5787234042553191,0.9123711340206186,0.9025641025641028,0.7582938388625593,0.7922705314009664,1.0960451977401129,1.0960451977401129,1.0161947720232596,1.0384615384615383,0.733644859813084,0.8320987654320988,0.7417840375586855,0.8366336633663367,0.8517594210132269,0.7255813953488373,0.8009708737864076,0.7255813953488373,0.9526315789473684,0.855,0.5523012552301254,0.737704918032787,0.484,0.3490909090909091,0.3490909090909091,0.4269230769230769,0.3490418530235262,0.4269230769230769,0.5458333333333334,0.4269230769230769,0.2576271186440677,0.2434225961055067,0.3738705376981186,0.374074074074074
16126,0.4858962307,0.0308816627,33.522526117,0.0137530745,0.2908944419,0.6539897964,0.0841295633,-0.072068137,0.2099669315,-0.039773596,-0.150899389,-0.05064163,-1.323294795,0.0717472061,0.0506416304,46.0,-0.006693803,0.0939442781,-0.209923179,-0.099444313,0.0244140791,0.1830167002,-0.065438569,-0.011932045,-0.017456799,0.330340912,0.0,2.6657180501,1.1097442455,1.8496267018,1.0376384266,56.542225517,4.5058732537,0.2072740474,0.0,0.0,1.0,0.0,0.0,0.34021527,5.0,-0.102500677,-0.119913041,-0.212581931,-0.137123458,-13.37767564,-0.024876229,-1796.128355,0.0553124103,13.825065813,2.67361e-05,0.0123275328,0.0197579673,-0.071656586,0.01961784,-0.051506766,0.0,0.0005781461,-0.101068826,-0.072369024,5.0,13.832711767,1.0619360738,0.0,0.0255402029,0.0198080055,0.0279598313,0.4013224479,2.211313492,3.4945119e-09,1.9870497e-08,1.1807732631,1.3942254987,0.0237676943,0.0364811137,-0.330953346,-0.098849863,-0.0233389798607189,-0.0013157894736842,-0.0078431372549018,0.0026420079260238,0.0260718424101971,-0.0067302299495232,0.0093085106382979,0.0552135054617677,0.0399295361127423,0.116411010716537,0.1199409780775717,0.1915227629513343,0.5817207502232806,0.5571512309495898,0.5298013245033115,0.6823939202026601,0.5480769230769231,0.6781427668982944,0.6925772539025168,0.8894025604551921,0.4402277039848197,0.287687833252545,0.1562568008705114,0.3955870764381404,0.3696829079659707,0.2196969696969697,0.287375817785316,0.1406182911120652,0.1544980443285528,0.2625950570342206,0.1187618445988629,0.2980698753970194,0.1544980443285528,0.1872625698324022,0.3164023785926662,0.1129032258064515,0.1979706877113867,0.0520792079207921,-0.0115348837209301,-0.0197416974169741,0.2227848101265823,0.2284393063583816,0.1925925925925926,0.2157894736842105,0.3006119951040391,0.1676923076923078,0.0397260273972603,0.1045738045738045,0.1115062761506278
17137,1.0938283913,0.1212721028,-3.095569506,0.0516828067,1.7404247333,3.270313783,0.0742374266,0.0474749658,0.5580115713,-0.018203761,0.0589279361,0.0084420335,0.1928278461,0.0978874644,0.0084420335,47.0,0.0560974219,0.0714630613,0.2608982981,0.1084691298,-0.257418258,0.0701009538,0.0808205523,0.0872465215,0.0297538442,0.5529796115,0.0,1.3432077426,-0.01046289,0.7620381615,-0.147353115,9.3404365605,12.875697991,0.1296581368,0.0,0.0,1.0,0.0,0.0,1.4193823957,5.0,0.0134528306,0.041227306,0.0066024546,0.5031868996,0.3226791718,0.1592222907,-2105.54596,0.1515446569,12.029070801,-0.005256503,0.011309199,0.0295082378,-0.027014332,0.1235331784,0.0347147042,1.0,0.0032808399,7.9174969228,0.2681977917,2.0,12.343016053,2.2714754335,0.0,0.1123388484,0.0362810062,0.0513253642,0.7052291032,26.324396585,1.3996557e-08,5.9371494e-09,1.5819723097,2.5026363888,0.0365619583,0.0728716907,0.4984257798,-0.312544723,-0.0976909413854352,-0.067366096079514,-0.2140530479292693,-0.2585601404741001,-0.3063655030800821,-0.4423902277979531,-0.5075801749271136,-0.3040791100123609,-0.2006625650733553,-0.1284829721362228,-0.1588645418326691,0.0757961783439491,0.1443089430894308,0.2346491228070175,0.3404761904761906,0.9258836944127712,1.2979591836734694,1.6390625,1.469298245614035,2.09908256880734,0.711246200607903,0.3810302534750613,0.0125899280575541,0.109724047306176,0.1075409836065575,0.103921568627451,0.3866995073891626,0.3215962441314555,0.1075409836065575,0.1497617426820967,-0.0489864864864865,0.0292504570383913,-0.1448101265822784,-0.1143156790770844,-0.1571856287425149,-0.1968616262482169,-0.1448101265822784,-0.2051764705882353,-0.2766595289079229,-0.3244,-0.3869328493647913,-0.3891500904159132,-0.4185886402753872,-0.443492586490939,-0.4754658385093168,-0.5025036818851252,-0.5507978723404255,-0.5601562499999999,-0.5646907216494845
20670,0.2416342664,-0.053765117,1.6794674713,0.0,0.8607704551,0.7841951241,-0.004481383,-0.125049162,0.2844384385,0.0264261989,-0.053553366,-0.107016921,-2.351089474,0.072641484,0.1070169211,38.0,-0.028216134,-0.089814815,-0.157112538,-0.0333042,0.0224672989,0.3974780504,-0.049343147,-0.053395992,-0.310573598,0.4206024043,0.0,1.9981164623,0.0204114807,1.7774721432,0.0737509379,3.2611916638,4.8730675089,0.0024260486,0.0,0.0,0.0,1.0,1.0,0.9102371682,5.0,0.3157276581,0.0621391984,-0.127396492,-0.161828031,-0.539125089,0.0549275058,-15973.39646,0.0642905452,11.923541901,-0.000258022,-0.025148561,-0.116728674,-0.029536738,0.2264877912,-0.002535328,0.0,-0.018518519,4.1604687884,-0.242497914,3.0,13.049143215,2.551179578,0.0,0.0890301988,0.0832892354,0.0757906747,0.7977631182,38.702266758,1.8862774e-08,4.6639827e-09,1.5678982134,2.4583048075,0.0078875395,0.0623044967,0.0356201605,-0.206298515,-0.0457380457380457,-0.0331658291457286,-0.1516754850088184,-0.2069249793899423,-0.2437106918238994,-0.3064167267483778,-0.3003636363636364,-0.1133640552995391,-0.1387645478961504,-0.0389610389610389,-0.0302419354838709,0.0548245614035087,0.3587570621468925,0.3379694019471486,0.1774785801713585,0.2208121827411167,0.2009987515605491,0.2493506493506492,0.431547619047619,1.1377777777777776,0.0,0.0,0.0041753653444676,-0.0829361296472832,-0.1426024955436721,-0.1649305555555555,0.0020833333333332,-0.1379928315412187,-0.1763698630136987,-0.0531496062992127,-0.3415468856947297,-0.2352941176470588,-0.3079136690647482,-0.3324080499653019,-0.2605687932359724,-0.456497175141243,-0.5175526579739218,-0.5984974958263773,-0.5906382978723405,-0.577328646748682,-0.5894152795561247,-0.5466540999057493,-0.5129113924050633,-0.5795454545454546,-0.5888888888888889,-0.6070261437908497,-0.5510965935604293,-0.5789934354485777,-0.5767707875054994
64899,0.3283628401,0.0482442664,54.697454885,0.0138961838,0.3181441346,0.2080177831,0.1055483773,-0.007993207,0.1783429467,0.0118768574,-0.112681747,-0.029708973,-0.404654655,0.0677665334,0.0297089733,46.0,-0.003031528,0.0333333333,0.0325283155,0.1367909883,0.0267977715,0.0474640845,-0.149799222,0.0248360368,0.1209301175,0.1961033359,1.0,2.3989441336,0.5917680457,1.3816090143,0.5133872159,18.703647416,7.9144694534,0.1639274066,0.0,0.0,1.0,0.0,0.0,0.3672744358,8.0,0.1271470597,0.0964776996,-11.04676863,0.1756294702,-1.421529951,0.0263629473,25057.345625,0.0426379215,15.734248184,-0.002797623,0.0185791013,0.0420631304,-0.00278078,0.0141534749,0.0166321736,2.0,0.0011982426,1.8579081291,-0.028324028,6.0,9.568741869,0.0026286305,0.0,0.0712849349,0.0324852775,0.0733402502,0.7918182969,0.0199869107,3.3235535e-07,7.6609952e-07,1.059680702,1.1229231901,0.0538257812,0.0352991392,0.0979719094,-0.038553197,0.0394867165952019,0.0230517582728388,-0.0026643996139883,-0.0426546096162328,-0.077252551020408,-0.0868038374147942,-0.0881084033613445,-0.0544993924588042,-0.0234989059760299,0.023148217989817,-0.0104855696895089,0.062987706323162,0.2766482352941177,0.1513538461538461,0.189923789681452,0.1975401423605365,0.2864860699466509,0.2257438156557099,0.3852696751132956,0.4595221543799512,0.2925388601036269,0.1394455819814144,0.1496399982180412,0.1605930286407335,0.1273711042216563,0.0460294968189705,0.0621033571498483,0.0881433943344196,0.0844515287639473,0.2234870052191091,0.0407126230321581,0.2630069430691839,0.2671365863151125,0.272817055955691,0.3178905342415918,0.080454265308703,0.0906040201005025,-0.0166280018124149,0.0385213896066609,0.0311202964652224,-0.0200469589560662,-0.0266076331777631,-0.0665367741935483,-0.0549366397064979,-0.0091754478257599,-0.0083370344173396,-0.0460210989010988,-0.004631214668465,-0.0071357335651218
23660,0.1002412197,0.0301977786,61.434466291,0.0144187538,0.1236479991,0.1934328082,0.1788702398,0.0739174055,0.4610482426,0.006246676,0.0257725299,-0.031404612,-0.224823757,0.0369869567,0.0314046124,38.0,0.0141565433,0.0,0.004406418,-0.057203083,0.0211243517,0.1639817885,0.0864915233,0.0235930526,0.1399124382,0.3225142846,0.0,1.4701055021,-0.436580247,0.8021405471,-0.371853253,14.416052184,7.7017333483,0.3016151882,0.0,0.0,0.0,0.0,0.0,1.0626776937,6.0,0.3286218387,0.1503730427,0.1710690899,-0.101758822,-0.200213884,0.0115491202,30888.420397,0.2743317733,17.447733771,0.0024881862,0.0375004295,0.0890453079,0.0037754047,0.0141155311,0.003938575,0.0,0.0003079182,0.7423063556,0.0120920334,6.0,17.621228467,1.0164314609,0.0,0.0345128477,0.0210288307,0.0246963878,0.3521005466,1.9873934561,8.572572e-11,1.9260285e-08,0.975644565,0.9518823171,0.0175582892,0.0341193565,-0.318524377,-0.115891899,-0.0251905096931307,0.1377607576314821,0.0943225129323221,0.0987366710319315,0.1337696596858639,0.2250381788471409,0.2548530957045518,0.2689344291113651,0.3353271566874269,0.3614359675594114,0.2253155159088868,0.2189699470579778,0.3768876927956666,0.3012649791564756,0.2996639749028922,0.4347235896246728,0.6259949927164363,0.7466526558052646,0.9523960239823286,1.5002887080013854,0.6236785867765835,0.5524967200774276,0.6095585925954583,0.684820703337742,0.6120147164918035,0.6154419762983223,0.6417741714091802,0.6629550376286284,0.8251929211173215,0.9523960239823286,0.9945657640232108,1.1428925337687397,1.0963213409331392,1.3097436568579628,1.5781295566325635,1.311345981428114,1.3813713641612142,1.1894747990495929,1.029807423724047,1.118055604460094,1.3401955292486345,1.3764060905349793,1.5431591896652963,1.5389846992613436,1.5377945036915506,1.5710894033837937,1.7793108515690172,1.7508892911585368,1.9059315556851557
82542,0.3182892153,0.0415235405,5.7342772693,0.0069856054,0.055310798,0.2711564842,0.2222456362,0.1652942364,0.3906236485,0.0009534908,0.3587129297,-0.043401435,-0.362800534,0.0565883032,0.0434014346,46.0,0.0057497513,0.0678513732,0.1231955644,-0.126703289,0.0534793821,0.5004318175,0.1039928397,-0.000790012,0.1371634653,0.4777143748,0.0,6.4687443047,-0.15810286,5.2167851285,-0.129934289,2.4561538655,6.3300820026,1.1884512819,0.0,0.0,1.0,0.0,0.0,0.4464549922,6.0,-10.43244002,-0.037778264,-0.250723057,-0.036831021,-1.332329845,0.1991648563,-4743.736602,0.02204135,13.51004851,0.0006919209,0.0240672607,0.0282495557,0.0083996186,0.3041000661,0.0049939584,0.0,-0.001190143,-0.250581224,-0.015726084,6.0,12.747938238,0.4839652198,0.0,0.0384616032,0.0161450884,0.0239885176,0.4135363983,1.3025663782,7.1221555e-09,3.4307494e-08,1.0076748324,1.0154085679,0.0835869854,0.0353868356,-0.198578528,-0.351147931,0.0269791666666667,-0.0602055800293686,-0.1615720524017467,-0.1761778082897108,-0.0644186726439918,-0.0943396226415094,-0.1894630192502533,-0.1751868717243749,-0.1084695393759287,-0.0422984836392656,-0.0495990495990495,-0.0939122227465786,0.008827238335435,0.0062893081761006,-0.0160910115814286,-0.045346062052506,-0.0634146341463414,-0.0366281986954341,0.0184595798854232,0.1666059059423987,0.0812028381574501,0.0438186365119059,-0.1897366644159351,-0.1840203994900128,-0.1805377720870679,-0.1224060700246822,-0.0421073637996407,-0.0731801506082254,-0.1081382385730211,-0.0559543711279377,0.0248745596242125,0.037389237086665,-0.0056965302951837,-0.0478079746082126,-0.04047976011994,-0.1479542025383864,-0.1097922848664688,-0.2009987515605493,-0.2254941508672852,-0.2226720647773279,-0.1812366737739872,-0.1929382093316519,-0.1428571428571429,-0.1756118505796479,-0.0769230769230768,-0.1455273698264352,-0.2033195020746888,-0.2399049881235154,-0.191578947368421
