tic,datadate,gvkeyx,conm,indextype,spii,spmi,indexcat,dvpsxd,newnum,oldnum,prccd,prccddiv,prccddivn,prchd,prcld
I0003,1984-06-05,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,153.65000000,,,153.65000000,153.65000000
I0003,1984-06-06,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,155.01000000,,,155.01000000,155.01000000
I0003,1984-06-07,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,154.92000000,,,154.92000000,154.92000000
I0003,1984-06-08,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,155.17000000,,,155.17000000,155.17000000
I0003,1984-06-11,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,153.06000000,,,153.06000000,153.06000000
I0003,1984-06-12,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,152.19000000,,,152.19000000,152.19000000
I0003,1984-06-13,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,152.13000000,,,152.13000000,152.13000000
I0003,1984-06-14,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,150.39000000,,,150.39000000,150.39000000
I0003,1984-06-15,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,149.03000000,,,149.03000000,149.03000000
I0003,1984-06-18,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,151.73000000,,,151.73000000,151.73000000
I0003,1984-06-19,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,152.61000000,,,152.61000000,152.61000000
I0003,1984-06-20,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,154.84000000,,,154.84000000,154.84000000
I0003,1984-06-21,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,154.51000000,,,154.51000000,154.51000000
I0003,1984-06-22,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,154.46000000,,,154.46000000,154.46000000
I0003,1984-06-25,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,153.97000000,,,153.97000000,153.97000000
I0003,1984-06-26,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,152.71000000,,,152.71000000,152.71000000
I0003,1983-12-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,164.93000000,,,164.93000000,164.93000000
I0003,1984-01-03,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,164.04000000,,,164.04000000,164.04000000
I0003,1984-01-04,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,166.78000000,,,166.78000000,166.78000000
I0003,1984-01-05,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,168.81000000,,,168.81000000,168.81000000
I0003,1984-01-06,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,169.28000000,,,169.28000000,169.28000000
I0003,1984-01-09,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,168.90000000,,,168.90000000,168.90000000
I0003,1984-01-10,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,167.95000000,,,167.95000000,167.95000000
I0003,1984-01-11,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,167.79000000,,,167.79000000,167.79000000
I0003,1984-01-12,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,167.75000000,,,167.75000000,167.75000000
I0003,1984-01-13,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,167.02000000,,,167.02000000,167.02000000
I0003,1984-01-16,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,167.18000000,,,167.18000000,167.18000000
I0003,1984-01-17,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,167.83000000,,,167.83000000,167.83000000
I0003,1984-01-18,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,167.55000000,,,167.55000000,167.55000000
I0003,1984-01-19,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,167.04000000,,,167.04000000,167.04000000
I0003,1984-01-20,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,166.21000000,,,166.21000000,166.21000000
I0003,1984-01-23,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,164.87000000,,,164.87000000,164.87000000
I0003,1984-01-24,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,165.94000000,,,165.94000000,165.94000000
I0003,1984-01-25,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,164.84000000,,,164.84000000,164.84000000
I0003,1984-01-26,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,164.24000000,,,164.24000000,164.24000000
I0003,1984-01-27,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,163.94000000,,,163.94000000,163.94000000
I0003,1984-01-30,000003,S&P 500 Comp-Ltd,LGCAP,,10,S&P,,,,162.87000000,,,162.87000000,162.87000000
