month,invested,outlier,first,second,rest,total,number of clusters
1990-01,324,781,16,13,1143,1953,516
1990-02,280,783,19,13,1143,1958,517
1990-03,310,768,15,14,1124,1921,490
1990-04,340,771,18,13,1125,1927,503
1990-05,278,780,15,12,1144,1951,499
1990-06,286,787,19,14,1149,1969,504
1990-07,326,792,20,12,1157,1981,505
1990-08,330,804,22,10,1173,2009,519
1990-09,310,802,11,9,1183,2005,530
1990-10,296,808,13,11,1189,2021,537
1990-11,316,814,14,12,1197,2037,539
1990-12,318,850,17,14,1245,2126,554
1991-01,328,860,13,12,1264,2149,567
1991-02,326,866,20,14,1266,2166,564
1991-03,328,845,21,17,1229,2112,528
1991-04,342,856,16,14,1253,2139,539
1991-05,324,864,17,14,1264,2159,532
1991-06,352,873,17,14,1279,2183,538
1991-07,322,886,32,17,1281,2216,550
1991-08,352,896,18,17,1309,2240,561
1991-09,376,887,16,13,1303,2219,555
1991-10,362,892,23,16,1299,2230,553
1991-11,382,893,13,11,1316,2233,564
1991-12,350,918,19,13,1345,2295,588
1992-01,368,915,23,13,1337,2288,592
1992-02,386,914,21,16,1333,2284,576
1992-03,308,893,17,14,1308,2232,557
1992-04,394,895,16,13,1313,2237,587
1992-05,360,897,15,13,1319,2244,584
1992-06,274,910,22,12,1332,2276,588
1992-07,396,918,21,18,1338,2295,581
1992-08,372,922,23,14,1346,2305,576
1992-09,402,912,17,15,1335,2279,572
1992-10,356,914,22,12,1336,2284,586
1992-11,366,918,20,15,1341,2294,586
1992-12,328,940,27,14,1368,2349,594
1993-01,378,937,31,13,1362,2343,581
1993-02,418,943,25,13,1377,2358,597
1993-03,362,917,23,13,1340,2293,589
1993-04,400,922,21,16,1347,2306,585
1993-05,346,926,24,16,1348,2314,582
1993-06,374,927,23,16,1351,2317,583
1993-07,282,933,22,14,1365,2334,590
1993-08,380,936,29,14,1360,2339,584
1993-09,356,921,18,14,1349,2302,589
1993-10,366,921,24,16,1345,2306,580
1993-11,352,926,21,15,1353,2315,574
1993-12,350,950,21,19,1385,2375,584
1994-01,408,956,16,15,1403,2390,608
1994-02,378,956,18,16,1399,2389,605
1994-03,378,932,22,13,1364,2331,597
1994-04,398,934,17,14,1370,2335,594
1994-05,378,942,17,13,1383,2355,604
1994-06,394,938,18,14,1375,2345,600
1994-07,398,946,19,18,1382,2365,603
1994-08,350,953,19,11,1399,2382,615
1994-09,354,940,21,10,1378,2349,621
1994-10,382,936,19,15,1371,2341,606
1994-11,376,935,19,18,1365,2337,621
1994-12,376,950,21,15,1390,2376,582
1995-01,400,953,27,16,1386,2382,568
1995-02,400,952,22,18,1388,2380,587
1995-03,384,939,26,18,1368,2351,575
1995-04,366,944,28,19,1368,2359,583
1995-05,368,951,20,17,1390,2378,590
1995-06,334,939,17,16,1375,2347,577
1995-07,356,949,23,17,1383,2372,579
1995-08,354,958,23,15,1399,2395,594
1995-09,386,953,20,16,1393,2382,581
1995-10,410,957,21,18,1397,2393,589
1995-11,422,966,18,15,1417,2416,594
1995-12,454,1069,22,18,1563,2672,645
1996-01,414,1073,18,17,1578,2686,657
1996-02,430,1083,22,21,1582,2708,673
1996-03,398,998,25,17,1454,2494,620
1996-04,376,1015,23,18,1481,2537,639
1996-05,360,1024,19,17,1500,2560,627
1996-06,428,1030,17,15,1514,2576,630
1996-07,476,1147,22,20,1678,2867,719
