month,invested,outlier,first,second,rest,total,number of clusters
1990-01,346,196,256,206,1295,1953,47
1990-02,186,196,248,227,1287,1958,52
1990-03,382,193,191,150,1387,1921,59
1990-04,374,193,180,176,1378,1927,52
1990-05,232,196,254,189,1312,1951,59
1990-06,358,197,264,209,1299,1969,52
1990-07,382,199,275,222,1285,1981,52
1990-08,312,201,208,178,1422,2009,52
1990-09,54,201,256,235,1313,2005,52
1990-10,4,203,293,245,1280,2021,52
1990-11,440,204,276,211,1346,2037,51
1990-12,306,213,136,134,1643,2126,59
1991-01,378,215,134,131,1669,2149,59
1991-02,334,217,104,102,1743,2166,59
1991-03,388,212,120,99,1681,2112,56
1991-04,440,214,109,103,1713,2139,56
1991-05,134,216,110,108,1725,2159,59
1991-06,372,219,108,106,1750,2183,59
1991-07,64,222,128,102,1764,2216,59
1991-08,244,224,160,113,1743,2240,57
1991-09,390,222,114,100,1783,2219,59
1991-10,200,223,128,115,1764,2230,59
1991-11,270,224,134,122,1753,2233,56
1991-12,22,230,123,120,1822,2295,57
1992-01,296,229,117,105,1837,2288,58
1992-02,320,229,117,108,1830,2284,56
1992-03,28,224,106,103,1799,2232,59
1992-04,412,224,141,121,1751,2237,60
1992-05,454,225,112,104,1803,2244,59
1992-06,132,228,124,108,1816,2276,59
1992-07,450,230,122,110,1833,2295,59
1992-08,164,231,143,130,1801,2305,59
1992-09,418,228,100,99,1852,2279,59
1992-10,434,229,119,113,1823,2284,59
1992-11,244,230,146,138,1780,2294,59
1992-12,2,235,123,116,1875,2349,59
1993-01,410,235,128,120,1860,2343,59
1993-02,372,236,117,115,1890,2358,59
1993-03,450,230,108,105,1850,2293,59
1993-04,450,231,120,96,1859,2306,56
1993-05,324,232,149,123,1810,2314,59
1993-06,328,232,136,121,1828,2317,59
1993-07,68,234,116,115,1869,2334,59
1993-08,414,234,125,122,1858,2339,54
1993-09,390,231,122,109,1840,2302,56
1993-10,358,231,126,114,1835,2306,59
1993-11,358,232,137,107,1839,2315,57
1993-12,70,238,114,108,1915,2375,59
1994-01,398,239,129,125,1897,2390,57
1994-02,470,239,125,112,1913,2389,59
1994-03,462,234,117,107,1873,2331,59
1994-04,474,234,112,100,1889,2335,59
1994-05,340,236,120,118,1881,2355,59
1994-06,364,235,113,109,1888,2345,59
1994-07,500,237,111,109,1908,2365,59
1994-08,366,239,138,131,1874,2382,59
1994-09,248,235,119,113,1882,2349,59
1994-10,212,235,117,101,1888,2341,59
1994-11,388,234,120,116,1867,2337,59
1994-12,316,238,120,108,1910,2376,59
1995-01,446,239,125,113,1905,2382,57
1995-02,454,238,147,137,1858,2380,59
1995-03,464,236,145,134,1836,2351,57
1995-04,352,236,132,129,1862,2359,59
1995-05,360,238,130,129,1881,2378,59
1995-06,196,235,130,128,1854,2347,57
1995-07,210,238,130,118,1886,2372,59
1995-08,394,240,128,111,1916,2395,59
1995-09,420,239,133,108,1902,2382,59
1995-10,484,240,117,109,1927,2393,59
1995-11,492,242,123,108,1943,2416,58
1995-12,530,268,160,149,2095,2672,56
1996-01,454,269,137,130,2150,2686,59
1996-02,352,271,143,136,2158,2708,59
1996-03,462,250,130,118,1996,2494,59
1996-04,120,254,147,127,2009,2537,59
1996-05,430,256,143,133,2028,2560,56
1996-06,492,258,147,129,2042,2576,60
1996-07,618,287,139,135,2306,2867,59
1996-08,198,290,166,139,2300,2895,57
1996-09,508,281,136,128,2263,2808,59
1996-10,542,284,185,161,2202,2832,56
1996-11,312,287,145,141,2288,2861,59
1996-12,522,299,157,134,2395,2985,59
1997-01,284,300,153,142,2396,2991,58
