month,invested,outlier,first,second,rest,total,number of clusters
1990-01,132,1562,153,101,137,1953,23
1990-02,56,1566,119,109,164,1958,28
1990-03,130,1537,121,103,160,1921,23
1990-04,118,1541,97,94,195,1927,23
1990-05,108,1561,123,114,153,1951,23
1990-06,132,1575,153,96,145,1969,28
1990-07,144,1585,134,107,155,1981,23
1990-08,96,1607,93,80,229,2009,23
1990-09,30,1604,105,103,193,2005,28
1990-10,2,1617,118,96,190,2021,28
1990-11,126,1629,129,111,168,2037,28
1990-12,74,1701,77,72,276,2126,28
1991-01,86,1719,82,64,284,2149,28
1991-02,102,1733,85,73,275,2166,28
1991-03,84,1689,83,74,266,2112,28
1991-04,88,1711,83,75,270,2139,28
1991-05,24,1727,75,70,287,2159,28
1991-06,74,1746,74,68,295,2183,28
1991-07,20,1773,87,64,292,2216,30
1991-08,58,1792,93,82,273,2240,28
1991-09,104,1775,99,70,275,2219,30
1991-10,58,1784,102,74,270,2230,28
1991-11,68,1786,94,70,283,2233,30
1991-12,10,1836,105,78,276,2295,28
1992-01,78,1830,106,80,272,2288,28
1992-02,84,1827,98,60,299,2284,28
1992-03,8,1785,88,59,300,2232,28
1992-04,92,1789,93,60,295,2237,28
1992-05,100,1795,85,66,298,2244,30
1992-06,38,1821,82,75,298,2276,28
1992-07,92,1836,88,71,300,2295,28
1992-08,58,1844,95,69,297,2305,30
1992-09,108,1823,91,75,290,2279,28
1992-10,108,1827,100,72,285,2284,30
1992-11,70,1835,104,68,287,2294,28
1992-12,2,1879,117,78,275,2349,28
1993-01,98,1874,83,72,314,2343,28
1993-02,96,1886,85,65,322,2358,28
1993-03,82,1834,83,72,304,2293,28
1993-04,108,1845,92,71,298,2306,28
1993-05,76,1851,100,72,291,2314,28
1993-06,90,1853,93,78,293,2317,30
1993-07,18,1867,93,75,299,2334,28
1993-08,100,1871,109,65,294,2339,30
1993-09,106,1841,87,74,300,2302,28
1993-10,70,1845,96,79,286,2306,28
1993-11,72,1852,91,62,310,2315,30
1993-12,24,1900,95,75,305,2375,30
1994-01,92,1912,107,77,294,2390,29
1994-02,90,1911,83,71,324,2389,30
1994-03,92,1865,100,78,288,2331,28
1994-04,100,1868,99,72,296,2335,28
1994-05,78,1884,106,69,296,2355,30
1994-06,80,1876,94,65,310,2345,28
1994-07,98,1892,97,70,306,2365,30
1994-08,84,1905,108,72,297,2382,28
1994-09,84,1879,96,82,292,2349,28
1994-10,54,1873,91,62,315,2341,28
1994-11,98,1869,86,63,319,2337,28
1994-12,94,1901,98,71,306,2376,28
1995-01,106,1905,107,70,300,2382,28
1995-02,116,1904,106,68,302,2380,28
1995-03,122,1881,110,64,296,2351,28
1995-04,84,1887,93,69,310,2359,28
1995-05,106,1902,104,64,308,2378,28
1995-06,64,1877,104,67,299,2347,28
1995-07,70,1897,112,66,297,2372,28
1995-08,92,1916,104,62,313,2395,28
1995-09,100,1905,107,61,309,2382,28
1995-10,114,1914,94,66,319,2393,28
1995-11,104,1933,97,67,319,2416,28
1995-12,128,2137,115,61,359,2672,28
1996-01,126,2149,107,91,339,2686,28
1996-02,100,2166,104,76,362,2708,30
1996-03,112,1995,110,77,312,2494,28
1996-04,40,2029,107,70,331,2537,30
1996-05,82,2048,96,71,345,2560,28
1996-06,116,2061,104,69,342,2576,30
1996-07,128,2293,103,62,409,2867,30
1996-08,62,2316,113,85,381,2895,28
1996-09,110,2246,108,82,372,2808,30
1996-10,146,2265,134,75,358,2832,30
1996-11,100,2289,127,74,371,2861,28
1996-12,110,2388,118,96,383,2985,30
1997-01,96,2393,110,84,404,2991,28
1997-02,128,2393,112,88,398,2991,28
1997-03,130,2277,116,79,375,2847,28
1997-04,64,2316,100,78,401,2895,28
1997-05,120,2323,103,77,401,2904,30
1997-06,110,2344,113,83,390,2930,30
1997-07,112,2372,119,95,379,2965,28
1997-08,142,2401,120,90,390,3001,28
1997-09,126,2350,122,97,369,2938,28
1997-10,92,2370,112,79,402,2963,28
1997-11,104,2383,120,75,401,2979,28
1997-12,86,2509,117,97,413,3136,28
1998-01,118,2549,105,63,470,3187,30
1998-02,122,2573,113,95,436,3217,29
1998-03,56,2544,108,92,436,3180,29
1998-04,78,2561,103,94,443,3201,30
1998-05,100,2576,111,80,453,3220,28
1998-06,112,2530,94,91,448,3163,28
1998-07,100,2534,107,64,463,3168,28
1998-08,178,2541,101,96,439,3177,30
1998-09,152,2493,103,87,433,3116,28
1998-10,144,2499,107,83,435,3124,28
1998-11,132,2517,100,86,443,3146,30
1998-12,122,2516,112,91,426,3145,30
1999-01,86,2525,95,91,445,3156,29
1999-02,84,2529,112,99,421,3161,30
1999-03,142,2653,102,89,473,3317,30
1999-04,158,2653,103,91,469,3316,29
1999-05,70,2651,102,85,476,3314,30
1999-06,136,2615,111,79,464,3269,28
1999-07,86,2637,111,76,473,3297,30
1999-08,108,2651,120,81,462,3314,28
1999-09,156,2649,87,84,492,3312,30
1999-10,158,2674,111,86,472,3343,30
1999-11,128,2713,104,57,517,3391,30
1999-12,140,2862,109,93,514,3578,30
2000-01,168,2887,106,71,545,3609,30
2000-02,104,2886,99,76,547,3608,30
2000-03,110,2449,90,87,435,3061,28
2000-04,34,2465,100,72,445,3082,30
2000-05,84,2488,95,78,449,3110,30
2000-06,132,2457,120,85,409,3071,28
2000-07,166,2481,112,73,436,3102,30
2000-08,134,2497,134,65,426,3122,30
2000-09,162,2436,110,89,410,3045,28
2000-10,148,2451,100,90,423,3064,28
2000-11,142,2477,103,69,447,3096,30
2000-12,198,2863,130,93,493,3579,30
2001-01,178,2869,122,90,506,3587,30
2001-02,152,2885,119,74,528,3606,30
2001-03,162,2769,113,83,496,3461,30
2001-04,132,2775,126,92,476,3469,30
2001-05,60,2783,104,78,514,3479,29
2001-06,118,2755,118,85,486,3444,30
2001-07,134,2759,105,86,499,3449,28
2001-08,56,2781,124,86,486,3477,30
2001-09,142,2701,113,77,486,3377,30
2001-10,154,2725,129,104,448,3406,30
2001-11,174,2753,87,81,521,3442,30
2001-12,14,2797,114,89,496,3496,30
2002-01,164,2814,112,93,499,3518,30
2002-02,130,2825,120,98,489,3532,28
2002-03,178,2740,124,89,472,3425,30
2002-04,188,2761,129,88,474,3452,29
2002-05,164,2788,117,106,474,3485,28
2002-06,122,2773,123,81,489,3466,28
2002-07,76,2798,87,68,545,3498,30
2002-08,148,2820,117,97,491,3525,29
2002-09,120,2756,75,71,543,3445,28
2002-10,56,2757,98,91,501,3447,30
2002-11,186,2761,115,79,497,3452,29
2002-12,148,2751,120,91,477,3439,30
2003-01,34,2757,110,73,506,3446,29
2003-02,106,2762,126,80,485,3453,30
2003-03,144,2688,122,80,470,3360,30
2003-04,98,2690,108,76,489,3363,30
2003-05,148,2705,113,80,483,3381,30
2003-06,80,2701,108,77,491,3377,30
2003-07,138,2724,99,87,495,3405,28
2003-08,54,2746,96,92,499,3433,28
2003-09,104,2705,103,83,491,3382,28
2003-10,128,2712,86,76,516,3390,28
2003-11,150,2736,102,82,500,3420,28
2003-12,116,2775,95,93,506,3469,28
2004-01,132,2797,103,93,503,3496,28
2004-02,110,2799,80,75,545,3499,28
2004-03,114,2737,87,76,522,3422,28
2004-04,110,2753,80,75,534,3442,28
2004-05,32,2781,109,82,505,3477,29
2004-06,110,2766,102,73,517,3458,28
2004-07,170,2784,116,81,499,3480,30
2004-08,184,2809,109,78,515,3511,28
2004-09,168,2777,117,85,492,3471,30
2004-10,98,2789,75,72,550,3486,28
2004-11,110,2799,122,76,502,3499,28
2004-12,34,2821,117,79,509,3526,28
2005-01,172,2824,121,91,494,3530,28
2005-02,20,2825,116,81,509,3531,29
2005-03,122,2751,121,78,489,3439,28
2005-04,196,2753,108,97,483,3441,28
2005-05,80,2761,124,78,488,3451,29
2005-06,108,2719,121,80,479,3399,28
2005-07,140,2718,113,88,479,3398,28
2005-08,98,2724,125,96,460,3405,30
2005-09,70,2663,122,94,450,3329,28
2005-10,40,2660,117,89,459,3325,28
2005-11,102,2662,128,93,445,3328,30
2005-12,132,2683,134,83,454,3354,30
2006-01,142,2688,124,72,476,3360,28
2006-02,74,2689,124,90,459,3362,28
2006-03,92,2624,109,81,466,3280,28
2006-04,94,2624,104,85,467,3280,28
2006-05,76,2629,119,84,454,3286,28
2006-06,12,2601,109,95,447,3252,28
2006-07,66,2606,119,72,461,3258,30
2006-08,92,2613,106,73,474,3266,28
2006-09,82,2553,121,74,443,3191,28
2006-10,152,2553,119,79,441,3192,28
2006-11,86,2561,94,85,462,3202,28
2006-12,144,2559,119,79,442,3199,28
2007-01,90,2561,123,69,448,3201,28
2007-02,128,2565,106,84,452,3207,28
2007-03,152,2481,115,78,428,3102,28
2007-04,32,2481,113,83,424,3101,28
2007-05,82,2477,126,79,415,3097,28
2007-06,18,2429,137,76,394,3036,28
2007-07,14,2431,135,95,378,3039,28
2007-08,30,2434,148,83,378,3043,28
2007-09,136,2398,127,89,384,2998,28
2007-10,118,2401,120,97,383,3001,28
2007-11,86,2403,139,72,390,3004,28
