month,invested,outlier,first,second,rest,total,number of clusters
1990-01,412,151,1802,0,0,1953,1
1990-02,390,158,1800,0,0,1958,1
1990-03,398,154,1767,0,0,1921,1
1990-04,392,154,1773,0,0,1927,1
1990-05,408,158,1793,0,0,1951,1
1990-06,376,155,1814,0,0,1969,1
1990-07,430,159,1822,0,0,1981,1
1990-08,408,156,1853,0,0,2009,1
1990-09,418,156,1849,0,0,2005,1
1990-10,522,162,1859,0,0,2021,1
1990-11,462,153,1884,0,0,2037,1
1990-12,442,166,1960,0,0,2126,1
1991-01,468,166,1983,0,0,2149,1
1991-02,436,172,1994,0,0,2166,1
1991-03,424,173,1939,0,0,2112,1
1991-04,426,166,1973,0,0,2139,1
1991-05,420,175,1984,0,0,2159,1
1991-06,378,176,2007,0,0,2183,1
1991-07,466,185,2031,0,0,2216,1
1991-08,454,198,2042,0,0,2240,1
1991-09,428,176,2043,0,0,2219,1
1991-10,436,177,2053,0,0,2230,1
1991-11,450,177,2056,0,0,2233,1
1991-12,546,198,2097,0,0,2295,1
1992-01,420,199,2089,0,0,2288,1
1992-02,424,197,2087,0,0,2284,1
1992-03,404,175,2057,0,0,2232,1
1992-04,496,170,2067,0,0,2237,1
1992-05,444,173,2071,0,0,2244,1
1992-06,392,185,2091,0,0,2276,1
1992-07,476,180,2115,0,0,2295,1
1992-08,486,183,2122,0,0,2305,1
1992-09,428,180,2099,0,0,2279,1
1992-10,496,181,2103,0,0,2284,1
1992-11,494,184,2110,0,0,2294,1
1992-12,424,191,2158,0,0,2349,1
1993-01,454,195,2148,0,0,2343,1
1993-02,480,192,2166,0,0,2358,1
1993-03,474,179,2114,0,0,2293,1
1993-04,502,189,2117,0,0,2306,1
1993-05,458,181,2133,0,0,2314,1
1993-06,414,191,2126,0,0,2317,1
1993-07,512,186,2148,0,0,2334,1
1993-08,496,182,2157,0,0,2339,1
1993-09,488,181,2121,0,0,2302,1
1993-10,396,184,2122,0,0,2306,1
1993-11,416,185,2130,0,0,2315,1
1993-12,516,195,2180,0,0,2375,1
1994-01,482,197,2193,0,0,2390,1
1994-02,482,195,2194,0,0,2389,1
1994-03,442,180,2151,0,0,2331,1
1994-04,476,182,2153,0,0,2335,1
1994-05,450,181,2174,0,0,2355,1
1994-06,446,190,2155,0,0,2345,1
1994-07,484,181,2184,0,0,2365,1
1994-08,486,201,2181,0,0,2382,1
1994-09,442,190,2159,0,0,2349,1
1994-10,468,193,2148,0,0,2341,1
1994-11,478,189,2148,0,0,2337,1
1994-12,510,198,2178,0,0,2376,1
1995-01,474,188,2194,0,0,2382,1
1995-02,506,182,2198,0,0,2380,1
1995-03,474,178,2173,0,0,2351,1
1995-04,462,178,2181,0,0,2359,1
1995-05,418,186,2192,0,0,2378,1
1995-06,436,191,2156,0,0,2347,1
1995-07,400,189,2183,0,0,2372,1
1995-08,408,179,2216,0,0,2395,1
1995-09,434,186,2196,0,0,2382,1
1995-10,504,198,2195,0,0,2393,1
1995-11,524,186,2230,0,0,2416,1
1995-12,516,219,2453,0,0,2672,1
