,Agglomerative,Contrastive_Learning,DBSCAN,K-mean,Reversal,S&P 500
count,391,391,391,391,391,391
annual return mean,0.1667687188957947,0.3859035031649083,0.11817944197343011,0.23492699636940206,0.15408214225666717,0.10033673958720413
annual return std,0.2488349522372808,0.5189979291353204,0.23914468307454073,0.24688916932066696,0.3140777795536174,0.17204014993455097
cumulative return,15126.052481284563,4150714.644100621,3707.732975150619,96722.99822053262,10563.010233444584,2154.4620233866412
Shrape Ratio,0.6701981268964579,0.7435549960822486,0.4941754943244705,0.95154840941715,0.4905859385393523,0.5832169968776191
t-statistic,0.6260502056808949,7.556413859631226,-1.7983861380337507,4.0015248933103305,0.0,-2.9676551469931414
Down std,0.18854536291072743,0.2591093193014282,0.20247491370937798,0.18347930096166842,0.21745630853660458,0.14078581526778233
Sortino Ratio,0.7799546713240909,1.3027248961553695,0.5575757093361651,1.4227102344571347,0.7916908702153881,0.730175372245378
Gross profit,10.859553105075783,22.206745791731702,9.228397232200294,12.759678637022304,13.814292152526978,8.438789248070105
Gross loss,-5.83396007238344,-11.573100804993928,-5.58877814680759,-5.884208993041698,-9.144926294782014,-5.323292781144146
Profit Factor,1.8614376804672161,1.9188241911924964,1.6512369948826329,2.1684611563102387,1.5105963358511976,1.5852573951899633
Profitable years,27,24,23,27,23,26
Unprofitable years,6,9,10,6,10,7
Maximum Drawdown,-0.6168502047511265,-0.590483851462967,-0.4038811692976848,-0.37193424176786555,-0.5880110940432249,-0.5311447862284825
Calmar Ratio,0.27035529470737385,0.6535377761962569,0.2926094380159743,0.6316358377028015,0.26203951561046657,0.18890656971269276
