,Agglomerative,Contrastive_Learning,DBSCAN,K-mean,Reversal,S&P 500
count,391,391,391,391,391,391
annual return mean,0.14477925683452675,0.25311331130351045,0.12583118575791397,0.127667002342166,0.061355321548834274,0.10033673958720413
annual return std,0.09519356695818071,0.1654492972432926,0.12972799176088334,0.08667426879126472,0.08819444502239504,0.17204014993455097
cumulative return,8091.254186172758,155802.1198556328,4655.222712016407,4914.489857978575,596.035073121332,2154.4620233866412
Shrape Ratio,1.5208932857629909,1.5298542545714688,0.9699617179756254,1.472951593622589,0.6956823815066198,0.5832169968776191
t-statistic,12.711799564563387,20.224066958512243,8.127384673290218,10.603882020620379,0.0,3.987026990717284
Down std,0.07140094643940387,0.07896519999186369,0.09412222179592766,0.0517612621728023,0.048778397173913746,0.14078581526778233
Sortino Ratio,2.0952308738055403,3.166320263870851,1.4293257235619357,2.5477857114731557,1.3995464046400656,0.730175372245378
Gross profit,6.0182878677677945,10.050435036868395,6.328696127106057,5.53200064634195,4.249970811020024,8.438789248070105
Gross loss,-1.6126357523481036,-2.6986215703685303,-2.466867501773766,-1.617083860342747,-2.3097409455276434,-5.323292781144146
Profit Factor,3.731957361732041,3.724284704170612,2.565478738746811,3.4209732605762455,1.840020552629182,1.5852573951899633
Profitable years,30,30,25,29,24,26
Unprofitable years,3,3,8,4,9,7
Maximum Drawdown,-0.1299534397594296,-0.22520532472617644,-0.18020047946007894,-0.11888908963730978,-0.1499002627041007,-0.5311447862284825
Calmar Ratio,1.1140856071416252,1.1239224099664025,0.6982844115339338,1.0738327859321208,0.4093076319015405,0.18890656971269276
Mean,0.011267652469104071,0.01880259198593316,0.00987679955327952,0.010012574900253715,0.004962224719929362,0.007968021654542091
Standard deviation,0.026249553629231103,0.04419809016847936,0.03521169470283446,0.023995226393759464,0.02439877916621769,0.04582600796052753
Standard error,0.0013291978164348135,0.0022380572931766304,0.0017830134703645932,0.0012150455195522626,0.0012354802085204728,0.0023204901148957857
t-statistic,8.383551108323665,8.060942316100745,5.159735280390508,7.746547129777624,4.3278657209567335,3.4882097943051544
Min,-0.09681540179551532,-0.11850853001186334,-0.15711688341101043,-0.07333081172373113,-0.0656256556457319,-0.2220057551733598
25%,0.0,-0.006040917438341757,0.0,-0.0025826651148707584,-0.008574616514252738,-0.0171631921035725
50%,0.006443867874303081,0.012174766894104995,0.0,0.007703083918619623,0.003648829744353386,0.0139079385152921
75%,0.024922347377853912,0.03801574439566028,0.025019227469712017,0.020327982695193952,0.014517934673766289,0.033388125166442004
Max,0.09976732099145175,0.29105926431642204,0.17683656732548408,0.11450759733541178,0.19396901254873244,0.1483067056547496
Skew,0.1696505705848022,1.589944253428541,0.6537641890911946,0.6014256112942684,1.7568661972355284,-0.8559776925465733
Kurtosis,2.186461085653099,8.174406545176337,3.671997144523703,2.1397619478229024,10.513312797196434,3.0270199096174637
t-statistic2,,,,,,
