,60_characteristics_us,70_characteristics_us,80_characteristics_us,90_characteristics_us
count,391,391,391,391
annual return mean,0.1715548421093318,0.21619115602402705,0.23059529057880934,0.22521742369478814
annual return std,0.16503615278685402,0.17978996311986317,0.19278609708647654,0.20174253663021302
cumulative return,17298.64700902091,58736.024194069556,86248.57759615054,74765.01823800057
Shrape Ratio,1.039498553573875,1.202465100234187,1.1961199176897752,1.116360622091333
t-statistic,-4.071053529094065,-0.66048406571749,0.38108601830499,0.0
Down std,0.09278289658560457,0.0856139935022866,0.09068891066602003,0.0911371865715147
Sortino Ratio,1.507511119534748,1.9635265799947335,1.9411877186518804,2.08800659325773
Gross profit,8.719245691557132,9.507511734679873,9.868386578095112,9.866281954451669
Gross loss,-3.5602681534681713,-3.130172318016803,-3.1074091531842924,-3.248010126256127
Profit Factor,2.4490418462057235,3.037376466450764,3.175760285053728,3.037638914575738
Profitable years,28,27,28,27
Unprofitable years,5,6,5,6
Maximum Drawdown,-0.4607975800550916,-0.4401207643451883,-0.22691467764887294,-0.44682064591455783
Calmar Ratio,0.2611279213423673,0.4782524386849424,0.22461606969710304,0.33421350747952144
Mean,0.013194315954191719,0.016310330988908106,0.017291502365500817,0.01692652641482236
Standard deviation,0.04409573850366431,0.047728514820585266,0.05089106737938772,0.05305058504970486
Standard error,0.002232874515164393,0.002416827294562146,0.0025769693684006677,0.0026863207963328164
t-statistic,5.563960494895766,5.295756266269303,7.450775469053867,5.8319535092743084
Min,-0.17833747196936622,-0.2719380114434844,-0.21578701647919618,-0.16842464863399945
25%,-0.009762979943963225,-0.00697803211766662,-0.006805250684112548,-0.0059117153351073565
50%,0.010701478114231458,0.010104398727085323,0.013122442147796573,0.011679718033668948
75%,0.03249929799729294,0.030743936489969766,0.03606733281117283,0.03327709422852633
Max,0.18863936741362258,0.2695132094470315,0.5548645643872245,0.5548645643872245
Skew,0.2041039765928874,0.9120864410862969,2.9061696103777424,3.1667646653450876
Kurtosis,4.278219816164853,8.201998630279514,33.42985543253781,29.04751463025313
