month,invested,outlier,first,second,rest,total,number of clusters
1990-01,6,1172,12,8,761,1953,379
1990-02,6,1175,12,11,760,1958,396
1990-03,14,1152,14,9,746,1921,378
1990-04,10,1156,18,9,744,1927,382
1990-05,2,1170,15,6,760,1951,388
1990-06,8,1181,13,10,765,1969,380
1990-07,8,1188,18,12,763,1981,401
1990-08,8,1205,15,10,779,2009,399
1990-09,0,1202,11,10,782,2005,411
1990-10,0,1212,13,10,786,2021,399
1990-11,10,1221,11,10,795,2037,418
1990-12,2,1275,11,10,830,2126,410
1991-01,4,1289,13,11,836,2149,414
1991-02,0,1299,14,13,840,2166,414
1991-03,4,1267,16,11,818,2112,389
1991-04,8,1282,14,10,833,2139,393
1991-05,2,1295,13,10,841,2159,405
1991-06,6,1310,17,11,845,2183,406
1991-07,0,1329,11,9,867,2216,420
1991-08,2,1344,15,11,870,2240,423
1991-09,6,1331,11,10,867,2219,424
1991-10,4,1338,10,8,874,2230,441
1991-11,4,1339,8,7,879,2233,436
1991-12,0,1377,13,10,895,2295,451
1992-01,6,1372,20,10,886,2288,432
1992-02,6,1370,13,11,890,2284,435
1992-03,0,1339,12,11,870,2232,426
1992-04,6,1342,12,10,873,2237,418
1992-05,18,1345,11,9,879,2244,419
1992-06,6,1365,12,11,888,2276,429
1992-07,10,1377,15,14,889,2295,435
1992-08,0,1383,12,11,899,2305,442
1992-09,8,1367,17,11,884,2279,439
1992-10,6,1370,17,11,886,2284,442
1992-11,0,1376,15,11,892,2294,441
1992-12,0,1409,17,12,911,2349,455
1993-01,2,1406,20,10,907,2343,440
1993-02,0,1415,12,11,920,2358,440
1993-03,12,1376,16,13,888,2293,426
1993-04,12,1383,12,11,900,2306,424
1993-05,8,1388,11,10,905,2314,442
1993-06,12,1390,16,14,897,2317,436
1993-07,0,1400,13,12,909,2334,431
1993-08,12,1403,18,10,908,2339,444
1993-09,14,1381,13,9,899,2302,434
1993-10,6,1383,13,8,902,2306,442
1993-11,4,1389,12,9,905,2315,437
1993-12,0,1425,13,12,925,2375,445
1994-01,6,1434,16,12,928,2390,453
1994-02,16,1433,18,9,929,2389,466
1994-03,12,1398,13,9,911,2331,429
1994-04,16,1401,17,10,907,2335,436
1994-05,0,1413,17,10,915,2355,453
1994-06,6,1407,14,8,916,2345,447
1994-07,22,1419,13,10,923,2365,451
1994-08,8,1429,11,9,933,2382,452
1994-09,4,1409,14,10,916,2349,457
1994-10,2,1404,13,8,916,2341,446
1994-11,4,1402,18,11,906,2337,454
1994-12,4,1425,12,10,929,2376,445
1995-01,4,1429,15,14,924,2382,443
1995-02,12,1428,14,12,926,2380,435
1995-03,6,1410,12,11,918,2351,433
1995-04,4,1415,10,9,925,2359,442
1995-05,8,1427,10,9,932,2378,452
1995-06,8,1408,13,10,916,2347,447
1995-07,8,1423,10,9,930,2372,444
1995-08,4,1437,14,12,932,2395,455
1995-09,14,1429,13,11,929,2382,438
1995-10,8,1436,17,10,930,2393,434
1995-11,10,1449,11,10,946,2416,449
1995-12,10,1603,15,13,1041,2672,498
1996-01,10,1611,16,15,1044,2686,498
1996-02,4,1625,17,12,1054,2708,501
1996-03,10,1496,13,12,973,2494,467
1996-04,0,1522,12,11,992,2537,469
1996-05,2,1536,15,11,998,2560,471
1996-06,18,1544,12,11,1009,2576,483
1996-07,24,1720,13,11,1123,2867,546
1996-08,4,1737,12,10,1136,2895,541
1996-09,12,1684,14,10,1100,2808,552
1996-10,14,1699,14,13,1106,2832,538
1996-11,6,1716,13,10,1122,2861,558
1996-12,24,1791,13,12,1169,2985,543
1997-01,6,1794,13,11,1173,2991,553
1997-02,6,1794,13,11,1173,2991,551
1997-03,18,1708,11,9,1119,2847,541
1997-04,4,1737,11,10,1137,2895,555
1997-05,16,1741,11,10,1142,2904,578
1997-06,10,1758,9,8,1155,2930,559
1997-07,10,1779,12,10,1164,2965,553
1997-08,8,1800,11,10,1180,3001,572
1997-09,24,1763,12,11,1152,2938,556
1997-10,18,1778,12,10,1163,2963,557
1997-11,6,1787,11,10,1171,2979,562
1997-12,8,1881,15,13,1227,3136,625
1998-01,8,1912,13,12,1250,3187,623
1998-02,14,1930,25,9,1253,3217,640
1998-03,0,1908,11,10,1251,3180,620
1998-04,2,1920,12,10,1259,3201,617
1998-05,10,1931,11,10,1268,3220,637
1998-06,18,1898,10,9,1246,3163,635
1998-07,12,1901,13,8,1246,3168,632
1998-08,20,1906,21,10,1240,3177,635
1998-09,30,1869,13,9,1225,3116,628
1998-10,10,1874,14,10,1226,3124,638
1998-11,2,1887,14,10,1235,3146,643
1998-12,2,1887,17,11,1230,3145,609
1999-01,4,1893,13,12,1238,3156,627
1999-02,10,1896,12,10,1243,3161,607
1999-03,16,1990,12,10,1305,3317,631
1999-04,10,1989,13,11,1303,3316,637
1999-05,2,1988,12,10,1304,3314,622
1999-06,12,1961,14,13,1281,3269,614
1999-07,6,1978,10,9,1300,3297,618
1999-08,6,1987,18,11,1298,3314,622
1999-09,10,1987,17,11,1297,3312,626
1999-10,6,2006,14,11,1312,3343,625
1999-11,0,2034,14,13,1330,3391,627
1999-12,4,2147,22,15,1394,3578,634
2000-01,4,2165,19,14,1411,3609,650
2000-02,0,2165,14,13,1416,3608,647
2000-03,34,1835,10,9,1207,3061,586
2000-04,2,1849,16,13,1204,3082,593
2000-05,6,1866,12,11,1221,3110,590
2000-06,14,1842,13,12,1204,3071,576
2000-07,12,1860,16,12,1214,3102,591
2000-08,14,1873,24,9,1216,3122,585
2000-09,28,1827,14,12,1192,3045,589
2000-10,26,1838,11,9,1206,3064,594
2000-11,10,1857,15,11,1213,3096,601
2000-12,12,2147,16,14,1402,3579,630
2001-01,2,2152,14,13,1408,3587,632
2001-02,6,2163,16,12,1415,3606,634
2001-03,14,2075,13,12,1361,3461,596
2001-04,4,2081,18,14,1356,3469,592
2001-05,0,2087,19,15,1358,3479,591
2001-06,8,2066,14,13,1351,3444,588
2001-07,12,2069,14,13,1353,3449,573
2001-08,2,2086,22,15,1354,3477,573
2001-09,8,2026,13,12,1326,3377,592
2001-10,2,2043,16,13,1334,3406,598
2001-11,2,2064,12,11,1355,3442,611
2001-12,0,2096,15,12,1373,3496,622
2002-01,4,2111,15,12,1380,3518,625
2002-02,10,2119,14,13,1386,3532,626
2002-03,6,2055,16,12,1342,3425,622
2002-04,10,2071,17,14,1350,3452,625
2002-05,4,2091,15,12,1367,3485,627
2002-06,10,2079,17,11,1359,3466,615
2002-07,4,2099,19,12,1368,3498,621
2002-08,2,2115,12,10,1388,3525,642
2002-09,10,2066,13,11,1355,3445,626
2002-10,0,2068,11,10,1358,3447,630
2002-11,2,2071,12,11,1358,3452,641
2002-12,6,2063,14,10,1352,3439,606
2003-01,0,2066,13,12,1355,3446,617
2003-02,4,2071,16,13,1353,3453,636
2003-03,10,2016,16,11,1317,3360,617
2003-04,2,2018,17,10,1318,3363,612
2003-05,4,2027,17,14,1323,3381,618
2003-06,10,2026,16,13,1322,3377,597
2003-07,4,2043,14,12,1336,3405,612
2003-08,0,2060,16,15,1342,3433,613
2003-09,6,2029,18,14,1321,3382,599
2003-10,8,2034,17,11,1328,3390,615
2003-11,2,2052,18,16,1334,3420,613
2003-12,8,2080,18,16,1355,3469,616
2004-01,4,2096,18,16,1366,3496,623
2004-02,8,2099,20,18,1362,3499,607
2004-03,8,2053,20,17,1332,3422,601
2004-04,8,2065,14,13,1350,3442,599
2004-05,2,2086,24,16,1351,3477,618
2004-06,10,2075,16,15,1352,3458,616
2004-07,8,2088,18,17,1357,3480,618
2004-08,12,2106,16,15,1374,3511,622
2004-09,14,2082,16,15,1358,3471,615
2004-10,2,2091,16,14,1365,3486,625
2004-11,4,2099,14,12,1374,3499,618
2004-12,0,2115,16,15,1380,3526,617
2005-01,10,2118,18,17,1377,3530,622
2005-02,0,2118,18,17,1378,3531,639
2005-03,6,2063,18,11,1347,3439,637
2005-04,10,2064,16,13,1348,3441,629
2005-05,4,2070,15,12,1354,3451,636
2005-06,12,2039,13,11,1336,3399,621
2005-07,4,2038,15,11,1334,3398,634
2005-08,4,2043,12,11,1339,3405,627
2005-09,4,1997,12,10,1310,3329,619
2005-10,2,1995,18,12,1300,3325,618
2005-11,2,1997,14,11,1306,3328,626
2005-12,0,2012,19,15,1308,3354,594
2006-01,6,2015,16,13,1316,3360,607
2006-02,6,2017,21,15,1309,3362,595
2006-03,6,1967,15,13,1285,3280,587
2006-04,10,1968,26,17,1269,3280,576
2006-05,18,1971,26,16,1273,3286,591
2006-06,0,1951,28,16,1257,3252,588
2006-07,8,1955,19,15,1269,3258,585
2006-08,4,1959,19,13,1275,3266,583
2006-09,6,1914,18,10,1249,3191,578
2006-10,6,1915,15,13,1249,3192,564
2006-11,2,1921,16,13,1252,3202,573
2006-12,4,1918,23,17,1241,3199,575
2007-01,4,1920,17,15,1249,3201,575
2007-02,6,1924,25,16,1242,3207,581
2007-03,4,1861,17,15,1209,3102,562
2007-04,2,1860,15,13,1213,3101,557
2007-05,2,1858,20,14,1205,3097,561
2007-06,0,1821,15,13,1187,3036,553
2007-07,0,1822,15,12,1190,3039,563
2007-08,4,1826,11,10,1196,3043,572
2007-09,14,1799,14,13,1172,2998,547
2007-10,12,1799,12,11,1179,3001,541
2007-11,6,1802,17,13,1172,3004,543
2007-12,6,1800,16,15,1170,3001,554
2008-01,14,1808,19,11,1176,3014,558
2008-02,8,1814,20,13,1176,3023,553
2008-03,16,1781,14,11,1162,2968,546
2008-04,6,1785,15,12,1164,2976,547
2008-05,2,1787,14,13,1167,2981,543
2008-06,0,1778,11,9,1165,2963,566
2008-07,6,1790,13,11,1169,2983,571
2008-08,0,1798,13,12,1174,2997,567
2008-09,6,1764,17,14,1146,2941,569
2008-10,2,1766,11,9,1158,2944,550
2008-11,20,1775,12,9,1162,2958,567
2008-12,0,1601,10,8,1049,2668,546
2009-01,14,1613,9,8,1058,2688,554
2009-02,8,1614,9,7,1061,2691,561
2009-03,8,1761,11,10,1153,2935,577
2009-04,6,1761,11,8,1155,2935,572
2009-05,4,1765,11,10,1156,2942,575
2009-06,4,1751,14,11,1142,2918,550
2009-07,0,1765,14,11,1152,2942,541
2009-08,2,1773,13,12,1157,2955,556
2009-09,0,1752,14,10,1144,2920,564
2009-10,0,1754,12,11,1147,2924,566
2009-11,8,1758,15,9,1148,2930,558
2009-12,2,1638,11,10,1071,2730,549
2010-01,8,1646,10,8,1080,2744,553
2010-02,0,1650,12,9,1079,2750,543
2010-03,2,1595,13,9,1041,2658,537
2010-04,0,1597,13,11,1041,2662,537
2010-05,4,1603,16,9,1044,2672,527
2010-06,4,1584,14,9,1033,2640,517
2010-07,2,1592,16,11,1034,2653,544
