month,invested,outlier,first,second,rest,total,number of clusters
1990-01,0.06144393241167435,1367,191,96,299,1953,89
1990-02,0.033707865168539325,1370,142,132,314,1958,90
1990-03,0.07704320666319625,1345,129,116,331,1921,87
1990-04,0.05396990140114167,1349,179,120,279,1927,87
1990-05,0.038954382368016405,1366,141,111,333,1951,89
1990-06,0.07719654647028949,1378,149,106,336,1969,87
1990-07,0.08278647147905098,1387,136,132,326,1981,90
1990-08,0.0587356893977103,1406,166,147,290,2009,90
1990-09,0.00798004987531172,1403,117,92,393,2005,90
1990-10,0.0019792182088075212,1415,197,108,301,2021,87
1990-11,0.10112911143838979,1426,114,100,397,2037,90
1990-12,0.06114769520225776,1488,159,123,356,2126,90
1991-01,0.062354583527221966,1504,206,116,323,2149,90
1991-02,0.05909510618651893,1516,161,109,380,2166,84
1991-03,0.05965909090909091,1478,118,83,433,2112,90
1991-04,0.061711079943899017,1497,163,116,363,2139,75
1991-05,0.020379805465493284,1511,212,193,243,2159,90
1991-06,0.062299587723316535,1528,171,136,348,2183,90
1991-07,0.011732851985559567,1551,152,115,398,2216,90
1991-08,0.03482142857142857,1568,171,162,339,2240,90
1991-09,0.05137449301487156,1553,175,97,394,2219,86
1991-10,0.03856502242152467,1561,152,83,434,2230,90
1991-11,0.0483654276757725,1563,152,111,407,2233,90
1991-12,0.0008714596949891067,1606,233,135,321,2295,90
1992-01,0.045454545454545456,1601,167,79,441,2288,90
1992-02,0.050788091068301226,1599,176,128,381,2284,87
1992-03,0.005376344086021506,1562,141,103,426,2232,90
1992-04,0.05632543585158695,1566,209,142,320,2237,90
1992-05,0.05080213903743316,1571,363,185,125,2244,90
1992-06,0.014938488576449912,1593,146,142,395,2276,89
1992-07,0.07058823529411765,1606,220,118,351,2295,85
1992-08,0.020824295010845987,1613,187,153,352,2305,80
1992-09,0.05704256252742431,1595,173,131,380,2279,89
1992-10,0.05691768826619965,1599,191,172,322,2284,87
1992-11,0.02702702702702703,1606,148,140,400,2294,89
1992-12,0.0008514261387824606,1644,137,134,434,2349,90
1993-01,0.06914212548015365,1640,103,91,509,2343,89
1993-02,0.056827820186598814,1650,130,69,509,2358,88
1993-03,0.06977758395115569,1605,173,89,426,2293,88
1993-04,0.05637467476149176,1614,93,85,514,2306,90
1993-05,0.05704407951598963,1620,145,106,443,2314,90
1993-06,0.05610703495899871,1622,107,102,486,2317,90
1993-07,0.013710368466152529,1634,95,67,538,2334,90
1993-08,0.0470286447199658,1637,96,82,524,2339,89
1993-09,0.060816681146828845,1611,213,133,345,2302,90
1993-10,0.049436253252385085,1614,164,151,377,2306,89
1993-11,0.056155507559395246,1620,140,111,444,2315,90
1993-12,0.01768421052631579,1662,153,151,409,2375,89
1994-01,0.05439330543933055,1673,209,123,385,2390,83
1994-02,0.06195060694851402,1672,202,116,399,2389,87
1994-03,0.06435006435006435,1632,237,146,316,2331,86
1994-04,0.06766595289079229,1634,194,193,314,2335,88
1994-05,0.048407643312101914,1648,157,144,406,2355,90
1994-06,0.06311300639658848,1641,198,138,368,2345,89
1994-07,0.07949260042283299,1655,209,172,329,2365,84
1994-08,0.06717044500419815,1667,178,143,394,2382,89
1994-09,0.04853128991060025,1644,123,103,479,2349,84
1994-10,0.029047415634344296,1639,158,113,431,2341,86
1994-11,0.05305947796320069,1636,122,118,461,2337,89
1994-12,0.04208754208754209,1663,187,179,347,2376,67
1995-01,0.05373635600335852,1667,198,108,409,2382,89
1995-02,0.05546218487394958,1666,160,132,422,2380,87
1995-03,0.08762228838792004,1646,261,141,303,2351,86
1995-04,0.04323866044934294,1651,164,113,431,2359,89
1995-05,0.07401177460050462,1664,163,118,433,2378,90
1995-06,0.028973157221985513,1643,198,83,423,2347,89
1995-07,0.025295109612141653,1660,191,97,424,2372,78
1995-08,0.043423799582463465,1676,160,142,417,2395,86
1995-09,0.04785894206549118,1667,189,152,374,2382,89
1995-10,0.0635185959047221,1675,164,133,421,2393,88
1995-11,0.07036423841059603,1691,146,135,444,2416,90
1995-12,0.06212574850299401,1870,268,123,411,2672,89
1996-01,0.04616530156366344,1880,212,207,387,2686,85
1996-02,0.04579025110782865,1895,139,129,545,2708,90
1996-03,0.07778668805132317,1746,166,135,447,2494,90
1996-04,0.017343318880567598,1776,204,190,367,2537,90
1996-05,0.0453125,1792,266,234,268,2560,87
1996-06,0.05512422360248447,1803,211,150,412,2576,90
1996-07,0.06696895709801186,2007,251,157,452,2867,89
1996-08,0.024179620034542316,2026,225,168,476,2895,90
1996-09,0.06695156695156695,1965,237,203,403,2808,89
1996-10,0.06002824858757062,1982,275,206,369,2832,89
1996-11,0.040545263893743445,2003,393,148,317,2861,87
1996-12,0.06499162479061976,2089,189,159,548,2985,90
1997-01,0.04145770645269141,2094,204,95,598,2991,90
1997-02,0.05683717820127048,2094,236,159,502,2991,90
1997-03,0.06814190375834211,1993,228,102,524,2847,90
1997-04,0.036614853195164075,2026,162,120,587,2895,90
1997-05,0.08333333333333333,2033,186,162,523,2904,90
1997-06,0.07098976109215017,2051,165,144,570,2930,90
1997-07,0.06003372681281619,2075,163,157,570,2965,87
