month,invested,outlier,first,second,rest,total,number of clusters
1990-01,0.055299539170506916,1367,200,134,252,1953,9
1990-02,0.02349336057201226,1370,198,143,247,1958,9
1990-03,0.07287870900572618,1345,198,172,206,1921,9
1990-04,0.06953814218993254,1349,203,167,208,1927,9
1990-05,0.027678113787801127,1366,197,167,221,1951,9
1990-06,0.05891315388522093,1378,196,174,221,1969,9
1990-07,0.06259464916708733,1387,203,169,222,1981,9
1990-08,0.04081632653061224,1406,206,178,219,2009,9
1990-09,0.05286783042394015,1403,202,198,202,2005,9
1990-10,0.06729341909945571,1415,218,193,195,2021,9
1990-11,0.07069219440353461,1426,200,159,252,2037,9
1990-12,0.04609595484477893,1488,141,137,360,2126,10
1991-01,0.041879944160074456,1504,162,145,338,2149,10
1991-02,0.046168051708217916,1516,152,150,348,2166,10
1991-03,0.052083333333333336,1478,139,137,358,2112,10
1991-04,0.06358111266947171,1497,160,127,355,2139,10
1991-05,0.0555812876331635,1511,153,135,360,2159,10
1991-06,0.05222171323866239,1528,156,138,361,2183,10
1991-07,0.0036101083032490976,1551,160,141,364,2216,10
1991-08,0.033928571428571426,1568,153,150,369,2240,10
1991-09,0.04957187922487607,1553,160,138,368,2219,10
1991-10,0.016143497757847534,1561,168,151,350,2230,10
1991-11,0.026869682042095836,1563,158,141,371,2233,10
1991-12,0.0017429193899782135,1606,166,142,381,2295,10
1992-01,0.02972027972027972,1601,161,137,389,2288,10
1992-02,0.04203152364273205,1599,159,137,389,2284,10
1992-03,0.0017921146953405018,1562,148,135,387,2232,10
1992-04,0.05185516316495306,1566,155,132,384,2237,10
1992-05,0.07397504456327986,1571,139,127,407,2244,10
1992-06,0.015817223198594025,1593,149,132,402,2276,10
1992-07,0.06187363834422658,1606,128,120,441,2295,10
1992-08,0.013015184381778741,1613,150,114,428,2305,10
1992-09,0.06494076349275998,1595,165,139,380,2279,10
1992-10,0.06042031523642732,1599,150,116,419,2284,10
1992-11,0.06364428945074106,1606,149,145,394,2294,10
1992-12,0.0008514261387824606,1644,138,123,444,2349,10
1993-01,0.046948356807511735,1640,149,131,423,2343,10
1993-02,0.06785411365564037,1650,139,128,441,2358,10
1993-03,0.06628870475359791,1605,162,112,414,2293,10
1993-04,0.06331309627059845,1614,161,117,414,2306,10
1993-05,0.027657735522904063,1620,162,116,416,2314,10
1993-06,0.03625377643504532,1622,151,130,414,2317,10
1993-07,0.005141388174807198,1634,162,130,408,2334,10
1993-08,0.041043180846515606,1637,173,114,415,2339,10
1993-09,0.0634231103388358,1611,162,129,400,2302,10
1993-10,0.060711188204683436,1614,151,125,416,2306,10
1993-11,0.050971922246220304,1620,161,108,426,2315,10
1993-12,0.0050526315789473685,1662,156,131,426,2375,10
1994-01,0.04351464435146443,1673,157,136,424,2390,10
1994-02,0.06446211804102135,1672,170,117,430,2389,10
1994-03,0.06435006435006435,1632,158,122,419,2331,10
