month,invested,outlier,first,second,rest,total,number of clusters
1990-01,388,317,1626,10,0,1953,2
1990-02,366,323,1624,11,0,1958,2
1990-03,358,323,1598,0,0,1921,1
1990-04,362,315,1612,0,0,1927,1
1990-05,384,330,1621,0,0,1951,1
1990-06,338,328,1629,12,0,1969,2
1990-07,374,326,1655,0,0,1981,1
1990-08,370,319,1678,12,0,2009,2
1990-09,428,317,1678,10,0,2005,2
1990-10,468,322,1688,11,0,2021,2
1990-11,432,325,1699,13,0,2037,2
1990-12,436,335,1778,13,0,2126,2
1991-01,430,344,1793,12,0,2149,2
1991-02,408,345,1806,15,0,2166,2
1991-03,384,354,1743,15,0,2112,2
1991-04,408,350,1774,15,0,2139,2
1991-05,412,362,1783,14,0,2159,2
1991-06,384,364,1807,12,0,2183,2
1991-07,434,376,1829,11,0,2216,2
1991-08,402,382,1849,9,0,2240,2
1991-09,436,370,1836,13,0,2219,2
1991-10,422,380,1839,11,0,2230,2
1991-11,426,368,1856,9,0,2233,2
1991-12,504,382,1913,0,0,2295,1
1992-01,402,371,1917,0,0,2288,1
1992-02,408,383,1889,12,0,2284,2
1992-03,352,372,1848,12,0,2232,2
1992-04,460,375,1846,16,0,2237,2
1992-05,402,374,1870,0,0,2244,1
1992-06,374,385,1877,14,0,2276,2
1992-07,436,387,1886,15,7,2295,3
1992-08,444,381,1910,14,0,2305,2
1992-09,396,377,1891,11,0,2279,2
1992-10,464,370,1903,11,0,2284,2
1992-11,428,374,1910,10,0,2294,2
1992-12,376,397,1952,0,0,2349,1
1993-01,454,380,1951,12,0,2343,2
1993-02,460,395,1951,12,0,2358,2
1993-03,412,375,1908,10,0,2293,2
1993-04,464,382,1914,10,0,2306,2
1993-05,402,393,1909,12,0,2314,2
1993-06,398,381,1921,15,0,2317,2
1993-07,450,388,1931,15,0,2334,2
1993-08,448,390,1949,0,0,2339,1
1993-09,440,383,1904,15,0,2302,2
1993-10,356,378,1928,0,0,2306,1
1993-11,442,377,1924,14,0,2315,2
1993-12,486,397,1963,15,0,2375,2
1994-01,472,387,2003,0,0,2390,1
1994-02,456,384,2005,0,0,2389,1
1994-03,424,388,1927,16,0,2331,2
1994-04,454,362,1957,16,0,2335,2
1994-05,434,370,1971,14,0,2355,2
1994-06,402,388,1957,0,0,2345,1
1994-07,454,380,1970,15,0,2365,2
1994-08,444,389,1978,15,0,2382,2
1994-09,408,386,1950,13,0,2349,2
1994-10,412,393,1939,9,0,2341,2
1994-11,448,387,1937,13,0,2337,2
1994-12,480,377,1990,9,0,2376,2
1995-01,416,376,1992,14,0,2382,2
1995-02,466,388,1978,14,0,2380,2
1995-03,436,390,1961,0,0,2351,1
1995-04,412,392,1945,13,9,2359,3
1995-05,402,383,1972,13,10,2378,3
1995-06,406,381,1954,12,0,2347,2
1995-07,374,389,1971,12,0,2372,2
1995-08,364,401,1981,13,0,2395,2
1995-09,430,392,1990,0,0,2382,1
1995-10,456,389,1989,15,0,2393,2
1995-11,510,386,2015,15,0,2416,2
1995-12,476,430,2222,20,0,2672,2
1996-01,540,445,2222,19,0,2686,2
1996-02,532,442,2246,20,0,2708,2
1996-03,434,418,2076,0,0,2494,1
1996-04,464,413,2124,0,0,2537,1
1996-05,410,417,2143,0,0,2560,1
1996-06,526,405,2171,0,0,2576,1
1996-07,600,473,2394,0,0,2867,1
1996-08,494,471,2424,0,0,2895,1
1996-09,498,460,2348,0,0,2808,1
1996-10,582,480,2352,0,0,2832,1
1996-11,466,476,2385,0,0,2861,1
1996-12,546,478,2507,0,0,2985,1
1997-01,536,475,2516,0,0,2991,1
1997-02,590,478,2500,13,0,2991,2
1997-03,538,465,2382,0,0,2847,1
1997-04,578,477,2378,23,17,2895,3
1997-05,566,475,2390,22,17,2904,3
1997-06,576,499,2420,11,0,2930,2
1997-07,588,486,2467,12,0,2965,2
1997-08,560,494,2507,0,0,3001,1
1997-09,508,477,2461,0,0,2938,1
1997-10,548,483,2480,0,0,2963,1
1997-11,566,495,2484,0,0,2979,1
1997-12,648,513,2605,18,0,3136,2
1998-01,610,530,2636,21,0,3187,2
1998-02,596,536,2657,24,0,3217,2
1998-03,576,512,2640,28,0,3180,2
1998-04,548,502,2676,23,0,3201,2
1998-05,572,517,2676,27,0,3220,2
1998-06,618,503,2636,24,0,3163,2
1998-07,650,501,2667,0,0,3168,1
1998-08,826,513,2644,20,0,3177,2
1998-09,650,495,2621,0,0,3116,1
1998-10,670,509,2615,0,0,3124,1
