month,invested,outlier,first,second,rest,total,number of clusters
1990-01,54,1183,219,171,380,1953,19
1990-02,20,1159,216,94,489,1958,19
1990-03,90,1100,209,115,497,1921,21
1990-04,82,1120,160,132,515,1927,20
1990-05,84,1121,158,150,522,1951,21
1990-06,72,1124,230,139,476,1969,22
1990-07,92,1118,239,160,464,1981,21
1990-08,88,1160,170,162,517,2009,22
1990-09,98,1161,182,168,494,2005,23
1990-10,120,1202,139,119,561,2021,23
1990-11,80,1199,183,121,534,2037,23
1990-12,54,1225,227,129,545,2126,23
1991-01,64,1267,202,179,501,2149,20
1991-02,54,1269,247,142,508,2166,20
1991-03,62,1219,216,158,519,2112,19
1991-04,92,1223,282,162,472,2139,19
1991-05,16,1219,255,153,532,2159,24
1991-06,66,1263,277,181,462,2183,22
1991-07,72,1294,320,136,466,2216,23
1991-08,28,1307,240,223,470,2240,22
1991-09,56,1263,282,146,528,2219,21
1991-10,26,1277,353,152,448,2230,21
1991-11,40,1293,350,169,421,2233,19
1991-12,28,1384,198,197,516,2295,19
1992-01,36,1354,240,165,529,2288,18
1992-02,48,1401,256,250,377,2284,19
1992-03,42,1361,286,146,439,2232,14
1992-04,80,1348,355,138,396,2237,20
1992-05,96,1343,269,235,397,2244,21
1992-06,26,1385,248,218,425,2276,16
1992-07,102,1362,350,163,420,2295,20
1992-08,96,1395,280,223,407,2305,15
1992-09,86,1347,295,207,430,2279,22
1992-10,74,1333,294,188,469,2284,19
1992-11,68,1341,285,235,433,2294,20
1992-12,96,1462,273,195,419,2349,20
1993-01,64,1460,270,169,444,2343,18
1993-02,74,1456,233,209,460,2358,18
1993-03,84,1383,298,295,317,2293,18
1993-04,92,1350,348,114,494,2306,17
1993-05,40,1384,273,219,438,2314,18
1993-06,62,1362,339,127,489,2317,20
1993-07,14,1416,231,186,501,2334,20
1993-08,66,1387,271,152,529,2339,23
1993-09,68,1376,254,222,450,2302,21
1993-10,64,1348,290,229,439,2306,23
1993-11,72,1391,248,202,474,2315,19
1993-12,40,1386,306,189,494,2375,21
1994-01,66,1424,303,226,437,2390,23
1994-02,90,1410,326,165,488,2389,21
1994-03,86,1436,385,141,369,2331,20
1994-04,92,1411,342,157,425,2335,20
1994-05,46,1436,323,153,443,2355,21
1994-06,78,1402,275,270,398,2345,19
1994-07,114,1397,392,161,415,2365,22
1994-08,100,1406,329,154,493,2382,19
1994-09,38,1420,360,184,385,2349,18
1994-10,80,1411,320,206,404,2341,20
1994-11,78,1392,260,171,514,2337,20
1994-12,42,1398,248,192,538,2376,20
1995-01,80,1396,270,235,481,2382,20
1995-02,84,1406,300,253,421,2380,21
1995-03,86,1399,370,130,452,2351,22
1995-04,58,1382,348,198,431,2359,19
1995-05,70,1387,324,204,463,2378,22
1995-06,70,1361,310,163,513,2347,23
1995-07,26,1411,353,157,451,2372,22
1995-08,58,1455,358,166,416,2395,21
1995-09,86,1397,249,188,548,2382,20
1995-10,122,1404,318,175,496,2393,21
1995-11,98,1426,242,204,544,2416,17
1995-12,94,1597,299,250,526,2672,19
1996-01,80,1598,295,183,610,2686,19
1996-02,102,1649,365,199,495,2708,20
1996-03,76,1512,293,241,448,2494,19
1996-04,18,1530,333,207,467,2537,19
1996-05,54,1572,291,147,550,2560,18
1996-06,86,1622,402,208,344,2576,18
1996-07,128,1762,460,138,507,2867,21
1996-08,58,1811,427,173,484,2895,19
1996-09,96,1701,327,180,600,2808,21
1996-10,112,1733,364,214,521,2832,19
1996-11,90,1793,408,235,425,2861,22
1996-12,102,1797,429,255,504,2985,21
1997-01,40,1807,413,161,610,2991,20
1997-02,92,1867,375,223,526,2991,18
1997-03,94,1741,354,313,439,2847,21
1997-04,48,1801,286,223,585,2895,21
1997-05,78,1775,344,232,553,2904,19
1997-06,94,1782,356,229,563,2930,19
1997-07,88,1816,302,269,578,2965,19
1997-08,92,1850,425,181,545,3001,21
1997-09,98,1858,427,211,442,2938,20
1997-10,82,1852,483,152,476,2963,17
1997-11,64,1847,352,288,492,2979,20
1997-12,40,1973,370,266,527,3136,19
1998-01,56,2029,471,158,529,3187,18
1998-02,64,2012,505,144,556,3217,19
1998-03,26,2004,457,190,529,3180,20
1998-04,62,2087,449,179,486,3201,20
1998-05,48,2100,401,234,485,3220,16
1998-06,72,2013,452,181,517,3163,18
1998-07,88,2050,274,253,591,3168,18
1998-08,176,2002,353,206,616,3177,20
1998-09,188,1915,307,214,680,3116,25
1998-10,142,1914,396,209,605,3124,20
1998-11,60,1943,305,251,647,3146,22
1998-12,70,1967,339,202,637,3145,22
1999-01,42,1988,348,230,590,3156,20
1999-02,46,2027,467,219,448,3161,21
1999-03,92,2111,356,216,634,3317,19
1999-04,94,2122,396,191,607,3316,21
1999-05,18,2105,367,272,570,3314,21
1999-06,88,2111,448,229,481,3269,19
1999-07,76,2089,429,198,581,3297,20
1999-08,48,2084,432,196,602,3314,19
1999-09,90,2073,449,218,572,3312,23
1999-10,102,2062,448,202,631,3343,24
1999-11,30,2145,440,258,548,3391,22
1999-12,34,2270,439,248,621,3578,18
2000-01,60,2275,440,244,650,3609,19
2000-02,26,2296,465,251,596,3608,19
2000-03,140,1898,580,180,403,3061,19
2000-04,140,1909,381,265,527,3082,21
2000-05,62,1922,421,196,571,3110,21
2000-06,92,1910,434,325,402,3071,23
2000-07,134,1931,443,286,442,3102,23
2000-08,88,1938,453,255,476,3122,21
2000-09,156,1875,351,316,503,3045,21
2000-10,164,1873,448,208,535,3064,22
2000-11,92,1890,419,219,568,3096,20
2000-12,110,2262,508,265,544,3579,19
2001-01,34,2203,352,254,778,3587,21
2001-02,72,2257,499,267,583,3606,19
2001-03,106,2204,540,264,453,3461,17
2001-04,74,2198,505,260,506,3469,18
2001-05,10,2234,493,258,494,3479,18
2001-06,74,2201,538,249,456,3444,19
2001-07,80,2202,513,265,469,3449,17
2001-08,20,2187,509,266,515,3477,19
2001-09,94,2121,479,245,532,3377,20
2001-10,34,2162,477,252,515,3406,22
2001-11,76,2179,469,254,540,3442,20
2001-12,48,2196,448,262,590,3496,20
2002-01,66,2255,404,169,690,3518,20
2002-02,52,2214,438,272,608,3532,21
2002-03,76,2163,473,265,524,3425,19
2002-04,82,2141,468,269,574,3452,21
2002-05,64,2205,433,272,575,3485,22
2002-06,76,2156,287,272,751,3466,21
2002-07,24,2212,486,288,512,3498,19
2002-08,42,2202,373,286,664,3525,18
2002-09,84,2110,380,282,673,3445,23
2002-10,14,2110,361,180,796,3447,21
2002-11,48,2129,451,185,687,3452,23
2002-12,72,2195,410,278,556,3439,21
2003-01,2,2222,272,258,694,3446,18
2003-02,38,2243,302,272,636,3453,18
2003-03,60,2150,388,236,586,3360,23
2003-04,14,2188,436,245,494,3363,19
2003-05,28,2203,415,244,519,3381,17
2003-06,16,2119,462,271,525,3377,22
2003-07,76,2246,497,236,426,3405,17
2003-08,20,2256,475,263,439,3433,20
2003-09,48,2211,564,272,335,3382,20
2003-10,58,2132,490,233,535,3390,19
2003-11,46,2180,415,264,561,3420,19
2003-12,58,2170,482,281,536,3469,20
2004-01,52,2206,456,221,613,3496,20
2004-02,54,2242,387,223,647,3499,17
2004-03,52,2159,418,213,632,3422,20
2004-04,42,2160,442,262,578,3442,18
2004-05,58,2189,429,261,598,3477,18
2004-06,46,2249,385,264,560,3458,18
2004-07,86,2240,427,224,589,3480,19
2004-08,96,2233,456,224,598,3511,19
2004-09,68,2179,345,292,655,3471,18
2004-10,48,2191,326,290,679,3486,19
2004-11,22,2192,404,263,640,3499,19
2004-12,42,2232,430,302,562,3526,21
2005-01,78,2221,347,242,720,3530,20
2005-02,8,2252,430,279,570,3531,20
2005-03,66,2163,451,253,572,3439,22
2005-04,142,2197,494,268,482,3441,20
2005-05,12,2174,437,273,567,3451,19
2005-06,46,2202,394,258,545,3399,18
2005-07,82,2173,472,289,464,3398,17
2005-08,32,2141,432,223,609,3405,18
2005-09,106,2099,330,244,656,3329,19
2005-10,6,2118,408,290,509,3325,17
2005-11,42,2154,290,256,628,3328,17
2005-12,34,2073,316,228,737,3354,20
2006-01,42,2150,483,265,462,3360,17
2006-02,82,2150,399,277,536,3362,20
2006-03,42,2021,294,279,686,3280,21
2006-04,40,2091,379,248,562,3280,19
2006-05,42,2088,412,231,555,3286,20
2006-06,14,2081,492,298,381,3252,20
2006-07,26,2078,483,266,431,3258,23
2006-08,26,2061,339,255,611,3266,22
2006-09,26,2033,439,246,473,3191,17
2006-10,66,2004,326,266,596,3192,19
2006-11,16,2051,462,233,456,3202,16
2006-12,64,2014,403,191,591,3199,20
2007-01,80,2068,335,226,572,3201,17
2007-02,76,2056,386,215,550,3207,18
2007-03,68,1993,337,242,530,3102,15
2007-04,78,1953,384,279,485,3101,21
2007-05,78,1974,414,241,468,3097,20
2007-06,92,1946,385,175,530,3036,21
2007-07,112,1976,314,259,490,3039,18
2007-08,10,1969,319,263,492,3043,20
2007-09,118,1897,382,226,493,2998,18
2007-10,104,1892,409,246,454,3001,19
2007-11,36,1915,347,183,559,3004,18
2007-12,72,1904,362,188,547,3001,17
2008-01,116,1935,301,253,525,3014,15
2008-02,54,1959,289,228,547,3023,16
2008-03,110,1839,313,157,659,2968,17
2008-04,70,1924,390,219,443,2976,20
2008-05,18,1864,391,131,595,2981,19
2008-06,22,1952,301,237,473,2963,15
2008-07,46,1973,265,194,551,2983,16
2008-08,16,1920,347,204,526,2997,20
2008-09,60,1849,419,180,493,2941,20
2008-10,48,1859,365,182,538,2944,20
2008-11,148,1905,341,199,513,2958,21
2008-12,4,1688,376,219,385,2668,22
2009-01,100,1723,368,180,417,2688,20
2009-02,80,1720,362,300,309,2691,22
2009-03,58,1881,248,247,559,2935,21
2009-04,76,1887,361,259,428,2935,21
2009-05,38,1889,406,196,451,2942,21
2009-06,58,1871,306,218,523,2918,19
2009-07,0,1938,316,203,485,2942,17
2009-08,10,1928,381,181,465,2955,16
2009-09,0,1890,490,161,379,2920,17
2009-10,12,1941,303,257,423,2924,19
2009-11,24,1947,276,272,435,2930,20
2009-12,2,1710,490,121,409,2730,22
2010-01,48,1720,435,156,433,2744,20
2010-02,6,1728,395,191,436,2750,22
2010-03,18,1700,474,107,377,2658,21
2010-04,12,1671,324,182,485,2662,20
2010-05,42,1685,263,247,477,2672,21
2010-06,24,1660,450,107,423,2640,19
2010-07,46,1694,406,121,432,2653,22
2010-08,14,1706,335,141,481,2663,23
2010-09,18,1650,260,237,467,2614,20
2010-10,90,1648,399,177,389,2613,22
2010-11,4,1637,272,196,521,2626,21
2010-12,0,1715,462,109,383,2669,22
2011-01,14,1728,438,111,403,2680,23
2011-02,2,1758,509,156,264,2687,17
2011-03,66,1864,317,267,397,2845,22
2011-04,6,1856,343,199,456,2854,21
2011-05,20,1845,410,238,367,2860,21
2011-06,28,1843,348,241,402,2834,19
2011-07,8,1849,369,256,377,2851,20
2011-08,116,1849,511,181,324,2865,20
2011-09,34,1755,382,213,480,2830,21
2011-10,6,1812,331,275,414,2832,22
2011-11,4,1846,481,116,402,2845,20
2011-12,24,1656,298,233,382,2569,19
2012-01,16,1659,428,147,349,2583,19
2012-02,30,1657,490,104,332,2583,19
2012-03,58,1854,396,308,220,2778,19
2012-04,62,1757,333,190,503,2783,20
2012-05,8,1802,416,214,354,2786,20
2012-06,50,1828,377,240,315,2760,21
2012-07,2,1808,255,204,501,2768,19
2012-08,2,1820,342,211,399,2772,19
2012-09,24,1801,369,252,331,2753,19
2012-10,4,1819,353,234,343,2749,18
2012-11,66,1785,266,242,457,2750,21
2012-12,10,1797,354,220,379,2750,21
2013-01,54,1785,584,90,292,2751,23
2013-02,22,1807,335,254,356,2752,19
2013-03,4,1760,336,236,348,2680,19
2013-04,0,1773,410,239,254,2676,19
2013-05,4,1747,366,222,342,2677,17
2013-06,14,1750,395,235,274,2654,20
2013-07,0,1799,321,263,272,2655,19
2013-08,0,1785,257,212,404,2658,22
2013-09,14,1719,374,211,304,2608,17
2013-10,0,1714,273,216,414,2617,17
2013-11,42,1713,414,233,266,2626,17
2013-12,6,1736,508,195,216,2655,20
2014-01,32,1766,469,196,231,2662,19
2014-02,46,1706,427,194,338,2665,20
2014-03,44,1730,385,218,287,2620,17
2014-04,50,1751,401,220,263,2635,21
2014-05,18,1738,299,184,422,2643,18
2014-06,14,1693,298,271,361,2623,20
2014-07,78,1700,450,190,291,2631,21
2014-08,6,1750,325,220,345,2640,20
2014-09,26,1692,424,223,264,2603,20
2014-10,62,1679,395,200,327,2601,23
2014-11,12,1695,367,192,350,2604,19
2014-12,16,1692,284,199,448,2623,20
2015-01,2,1713,375,190,362,2640,20
2015-02,10,1750,281,196,415,2642,17
2015-03,0,1710,369,204,325,2608,17
2015-04,0,1708,301,205,399,2613,15
2015-05,2,1716,352,204,346,2618,15
2015-06,28,1672,366,196,350,2584,20
