,Agglomerative,Contrastive_Learning,DBSCAN,K-mean,Reversal,S&P 500
count,391,391,391,391,391,391
annual return mean,0.0854618826305702,0.18450308453461028,0.061839198604963785,0.1226397106773045,0.08185683422975987,0.07929713324730292
annual return std,0.11759415288018138,0.2324751001169698,0.11326203908410659,0.11711229629828823,0.14633448454082942,0.15981270143882975
cumulative return,1346.9104135005289,24791.690144827022,606.4493912655491,4235.105879449276,1198.2721848232266,1101.8354674360648
Shrape Ratio,0.7267528234813586,0.793646650509141,0.5459834478085193,1.0471975578459993,0.5593817102415162,0.49618792832717906
t-statistic,0.6143692308855028,7.374179399391889,-1.7623593196319045,4.325670821440363,0.23358334144252565,0.0
Down std,0.08832076466346894,0.12085209037374933,0.09564085731115068,0.0828936522492405,0.10181183223493329,0.13849093549970726
Sortino Ratio,0.840061054099245,1.3310148317819452,0.6127219593977478,1.4140711525272098,0.8808791783688257,0.6522980440505947
Gross profit,5.530593225675727,11.214824387146946,4.697293891596001,6.551018772640572,7.041822660608904,7.765787647179191
Gross loss,-2.858577598835252,-5.697705275505616,-2.7422125110535167,-2.7816876453871955,-4.478203275766516,-5.279352609774097
Profit Factor,1.9347360827039317,1.9683054571740268,1.7129576473966897,2.3550518993403036,1.5724660599297122,1.4709734736796616
Profitable years,27,25,23,30,23,24
Unprofitable years,6,8,10,3,10,9
Maximum Drawdown,-0.37705880663887886,-0.3584280201651146,-0.22207435920243632,-0.23887133990578183,-0.3485299855506858,-0.5255585946457338
Calmar Ratio,0.04850637580050121,0.03416928199387564,0.03349475698819773,0.06400980294078144,0.037861553108549786,0.04915720515713985
Mean,0.006833799557136762,0.014110279057906214,0.005000208134379754,0.009640233062029093,0.006556571316732451,0.006359168893619164
Standard deviation,0.03209440987737802,0.06034015372769766,0.03097324831650179,0.031969919239388155,0.03942420350392744,0.042798550468834025
Standard error,0.0016251636173069796,0.0030554424547959837,0.0015683913948289633,0.0016188597888106948,0.001996322145217257,0.0021671888456952664
t-statistic,3.678827910626333,4.172438197376497,3.048732946233785,4.942316042070306,2.7117911803311823,2.665849608668871
Min,-0.17833747196936622,-0.34657359027997264,-0.17833747196936622,-0.12492474518467918,-0.1243158338837431,-0.1856364735854641
25%,-0.00375737800682066,-0.01754410581469741,-0.0015406222983404849,-0.0037471462126228462,-0.014488477474802655,-0.0176174278831962
50%,0.0013336775810286264,0.009994491386933145,0.0,0.008425733096511396,0.007628413658930906,0.0112585979906366
75%,0.02151481129277037,0.041096120796758076,0.016115587567089015,0.02718901520675633,0.026382755136684376,0.0335419055896347
Max,0.13004222456484424,0.30293136778637436,0.1282797656834945,0.13316568730144993,0.2152395050459173,0.1194208388412521
Skew,-0.49657548149831965,0.34998686487494735,-0.3164006250271862,-0.1231628223811433,0.29138249922624737,-0.7426551336327323
Kurtosis,4.664621759611059,5.742651048873807,5.513293690956528,2.4880028336626654,2.814491908451082,1.566303191449728
