,Agglomerative,Contrastive_Learning,DBSCAN,K-mean,Reversal,S&P 500
count,391,391,391,391,391,391
annual return mean,0.14485807037144016,0.3392393186085838,0.12583118575791397,0.130236256584763,0.061355321548834274,0.07929713324730292
annual return std,0.09519173915882195,0.19714335573533703,0.12972799176088334,0.0862170141490386,0.08819444502239504,0.15981270143882975
cumulative return,8109.64907712407,1359661.472007896,4655.222712016407,5300.46183295142,596.035073121332,1101.8354674360648
Shrape Ratio,1.5217504339294903,1.7207748003641024,0.9699617179756254,1.5105632904385993,0.6956823815066198,0.49618792832717906
t-statistic,12.723940315894444,25.442227197727455,8.127384673290218,11.043315597209718,0.0,1.9436267474499695
Down std,0.07140094643940387,0.09741843945956452,0.09412222179592766,0.04835958441319077,0.048778397173913746,0.13849093549970726
Sortino Ratio,2.096371455401449,3.2464867039801386,1.4293257235619357,1.7626188028514647,1.3995464046400656,0.6522980440505947
Gross profit,6.020531024546323,12.84523912062021,6.328696127106057,5.434184232886106,4.249970811020024,7.765787647179191
Gross loss,-1.6126357523481036,-3.3275894525078837,-2.466867501773766,-1.4451146653582172,-2.3097409455276434,-5.279352609774097
Profit Factor,3.7333483496071787,3.8602235353700913,2.565478738746811,3.760382731663077,1.840020552629182,1.4709734736796616
Profitable years,30,31,25,31,24,24
Unprofitable years,3,2,8,2,9,9
Maximum Drawdown,-0.12995343975942947,-0.21242915165129972,-0.18020047946007894,-0.23985785693881875,-0.1499002627041007,-0.5255585946457338
Calmar Ratio,1.0662543689263426,0.743280162871602,0.22503552731918747,0.2408757250012772,0.11345784468819022,0.04915720515713985
Mean,0.011273389442962198,0.02434181500795991,0.00987679955327952,0.010202223957871837,0.004962224719929362,0.006359168893619164
Standard deviation,0.026249071850774686,0.05194367888564413,0.03521169470283446,0.023873731086218295,0.02439877916621769,0.042798550468834025
Standard error,0.001329173420634362,0.0026302704239322223,0.0017830134703645932,0.0012088933655091186,0.0012354802085204728,0.0021671888456952664
t-statistic,7.999354498464725,8.88773581790243,5.146327089009303,5.766973884325837,3.652345449016708,2.665849608668871
Min,-0.09681540179551532,-0.19402080443223596,-0.15711688341101043,-0.14876337462360603,-0.0656256556457319,-0.1856364735854641
25%,0.0,-0.007167955703650912,0.0,-0.0011827477445378095,-0.008574616514252738,-0.0176174278831962
50%,0.006443867874303081,0.02090017166118896,0.0,0.008308528819436823,0.003648829744353386,0.0112585979906366
75%,0.024922347377853912,0.04996716130897118,0.025019227469712017,0.020462005535582424,0.014517934673766289,0.0335419055896347
Max,0.09976732099145175,0.3201750340814942,0.17683656732548408,0.09389478943730262,0.19396901254873244,0.1194208388412521
Skew,0.16900673740227856,0.76745748481193,0.6537641890911946,-0.5236602686196321,1.7568661972355284,-0.7426551336327323
Kurtosis,2.186693539834755,4.183803015388653,3.671997144523703,7.648199768140021,10.513312797196434,1.566303191449728
